date,direction,ticker,spy_entry,orb_high,orb_low,entry_time,exit_time,exit_reason,entry_premium,exit_premium,contracts,return_pct,dollar_pnl,win,thin_exit,exit_n_tx
2025-09-17,PUT,O:SPY250917P00660000,659.55,660.56,659.76,10:00,16:00,EOD_16:00,2.19,0.56,0.913,-74.4,-148.86,False,False,29
2025-09-19,CALL,O:SPY250919C00662000,662.41,662.37,661.32,09:45,16:00,EOD_16:00,0.92,1.73,2.174,88.0,176.09,True,False,28
2025-09-22,CALL,O:SPY250922C00663000,662.89,662.8,662.17,09:45,16:00,EOD_16:00,0.64,3.55,3.125,454.7,909.37,True,False,9
2025-09-25,PUT,O:SPY250925P00654000,654.48,657.98,655.08,14:00,16:00,EOD_16:00,0.49,0.01,4.082,-98.0,-195.92,False,False,26
2025-09-26,CALL,O:SPY250926C00662000,661.79,661.69,658.92,09:55,16:00,EOD_16:00,0.96,0.1,2.083,-89.6,-179.17,False,False,154
2025-09-29,PUT,O:SPY250929P00664000,663.62,664.76,663.73,11:15,16:00,EOD_16:00,1.02,0.32,1.961,-68.6,-137.25,False,False,34
2025-09-30,CALL,O:SPY250930C00663000,663.23,663.21,662.22,10:00,16:00,EOD_16:00,1.31,2.7,1.527,106.1,212.21,True,False,18
2025-10-01,CALL,O:SPY251001C00666000,665.53,665.39,663.12,10:25,16:00,EOD_16:00,0.75,2.36,2.667,214.7,429.33,True,False,29
2025-10-03,PUT,O:SPY251003P00670000,669.61,671.33,669.93,13:45,15:59,EOD_16:00,0.75,0.88,2.667,17.3,34.67,True,False,96
2025-10-06,CALL,O:SPY251006C00672000,671.67,671.65,670.06,11:45,16:00,EOD_16:00,0.38,0.02,5.263,-94.7,-189.47,False,False,139
2025-10-08,CALL,O:SPY251008C00671000,671.29,670.43,669.42,10:00,16:00,EOD_16:00,0.88,1.92,2.273,118.2,236.36,True,False,18
2025-10-15,CALL,O:SPY251015C00668000,668.31,667.62,666.23,09:55,16:00,EOD_16:00,1.75,0.01,1.143,-99.4,-198.86,False,False,27
2025-10-16,PUT,O:SPY251016P00666000,665.81,667.52,666.19,10:10,16:00,EOD_16:00,1.78,5.2,1.124,192.1,384.27,True,False,5
2025-10-17,CALL,O:SPY251017C00662000,661.69,661.36,658.23,09:50,16:00,EOD_16:00,2.15,2.31,0.93,7.4,14.88,True,False,8
2025-10-20,CALL,O:SPY251020C00669000,669.25,669.12,667.27,09:45,16:00,EOD_16:00,1.38,2.2,1.449,59.4,118.84,True,False,12
2025-10-21,CALL,O:SPY251021C00672000,672.1,671.78,670.7,10:50,16:00,EOD_16:00,0.83,0.11,2.41,-86.7,-173.49,False,False,140
2025-10-24,CALL,O:SPY251024C00678000,677.8,677.75,675.65,10:05,16:00,EOD_16:00,0.92,0.01,2.174,-98.9,-197.83,False,False,24
2025-10-27,CALL,O:SPY251027C00683000,683.37,683.19,682.12,10:00,16:00,EOD_16:00,0.93,2.18,2.151,134.4,268.82,True,False,16
2025-10-28,CALL,O:SPY251028C00687000,687.26,687.23,685.86,13:20,16:00,EOD_16:00,0.65,0.09,3.077,-86.2,-172.31,False,False,99
2025-10-29,PUT,O:SPY251029P00688000,688.12,689.26,688.15,10:45,16:00,EOD_16:00,2.02,1.48,0.99,-26.7,-53.47,False,False,24
2025-10-30,PUT,O:SPY251030P00681000,681.0,683.91,681.39,15:20,16:00,EOD_16:00,1.07,1.15,1.869,7.5,14.95,True,False,67
2025-10-31,PUT,O:SPY251031P00683000,682.63,685.08,683.0,10:00,16:00,EOD_16:00,1.68,1.1,1.19,-34.5,-69.05,False,False,62
2025-11-05,CALL,O:SPY251105C00676000,676.07,675.34,674.17,09:45,16:00,EOD_16:00,1.3,1.39,1.538,6.9,13.85,True,False,11
2025-11-06,PUT,O:SPY251106P00675000,674.9,677.38,675.7,09:50,16:00,EOD_16:00,1.54,4.59,1.299,198.1,396.1,True,False,5
2025-11-07,PUT,O:SPY251107P00664000,664.24,667.98,664.35,10:40,16:00,EOD_16:00,1.49,0.01,1.342,-99.3,-198.66,False,False,8
2025-11-10,CALL,O:SPY251110C00679000,679.46,679.09,677.03,12:50,16:00,EOD_16:00,0.83,2.31,2.41,178.3,356.63,True,False,8
2025-11-11,PUT,O:SPY251111P00679000,679.48,680.52,679.74,10:10,16:00,EOD_16:00,0.86,0.01,2.326,-98.8,-197.67,False,True,2
2025-11-12,PUT,O:SPY251112P00683000,683.32,684.96,683.93,09:45,16:00,EOD_16:00,0.85,0.02,2.353,-97.6,-195.29,False,False,63
2025-11-13,PUT,O:SPY251113P00677000,677.26,680.71,677.69,10:40,16:00,EOD_16:00,1.23,4.42,1.626,259.3,518.7,True,False,10
2025-11-17,PUT,O:SPY251117P00669000,668.67,672.67,668.92,11:10,16:00,EOD_16:00,1.67,3.01,1.198,80.2,160.48,True,False,12
2025-11-18,PUT,O:SPY251118P00660000,659.79,664.26,660.96,09:50,16:00,EOD_16:00,2.25,0.44,0.889,-80.4,-160.89,False,False,212
2025-11-19,CALL,O:SPY251119C00664000,663.54,663.32,660.11,09:45,16:00,EOD_16:00,2.09,0.8,0.957,-61.7,-123.44,False,False,50
2025-11-20,CALL,O:SPY251120C00674000,674.2,674.15,672.47,09:50,15:57,EOD_16:00,2.18,0.01,0.917,-99.5,-199.08,False,True,1
2025-11-21,CALL,O:SPY251121C00657000,656.96,656.44,654.03,11:35,16:00,EOD_16:00,2.23,2.36,0.897,5.8,11.66,True,False,7
2025-11-24,CALL,O:SPY251124C00666000,665.93,665.53,662.38,10:30,16:00,EOD_16:00,1.52,3.01,1.316,98.0,196.05,True,False,6
2025-11-25,CALL,O:SPY251125C00670000,670.42,669.98,667.19,10:40,16:00,EOD_16:00,1.37,5.28,1.46,285.4,570.8,True,False,12
2025-11-26,CALL,O:SPY251126C00679000,679.33,678.83,677.43,09:45,16:00,EOD_16:00,1.34,1.05,1.493,-21.6,-43.28,False,False,26
2025-12-02,CALL,O:SPY251202C00683000,683.03,682.96,681.63,10:00,16:00,EOD_16:00,1.08,0.01,1.852,-99.1,-198.15,False,False,12
2025-12-05,CALL,O:SPY251205C00687000,686.93,686.56,685.32,09:50,16:00,EOD_16:00,1.04,0.01,1.923,-99.0,-198.08,False,False,15
2025-12-11,CALL,O:SPY251211C00686000,686.46,685.82,684.48,10:20,16:00,EOD_16:00,1.17,3.13,1.709,167.5,335.04,True,False,16
2025-12-12,PUT,O:SPY251212P00687000,687.39,688.88,687.7,09:45,16:00,EOD_16:00,0.97,4.84,2.062,399.0,797.94,True,False,11
2025-12-16,CALL,O:SPY251216C00681000,680.79,680.51,678.15,09:55,16:00,EOD_16:00,1.46,0.01,1.37,-99.3,-198.63,False,False,18
2025-12-18,CALL,O:SPY251218C00679000,679.01,678.59,676.08,10:25,16:00,EOD_16:00,1.2,0.01,1.667,-99.2,-198.33,False,False,8
2025-12-19,CALL,O:SPY251219C00680000,679.82,679.41,676.47,09:55,16:00,EOD_16:00,1.03,0.48,1.942,-53.4,-106.8,False,False,131
2025-12-22,CALL,O:SPY251222C00685000,684.64,684.53,682.94,11:10,16:00,EOD_16:00,0.4,0.09,5.0,-77.5,-155.0,False,False,231
2025-12-24,CALL,O:SPY251224C00689000,688.86,688.69,687.8,10:05,13:14,EOD_16:00,0.34,1.02,5.882,200.0,400.0,True,False,7
2025-12-29,PUT,O:SPY251229P00687000,687.09,689.2,687.19,10:05,16:00,EOD_16:00,0.85,0.01,2.353,-98.8,-197.65,False,False,7
2025-12-30,PUT,O:SPY251230P00687000,686.92,687.87,687.1,10:10,16:00,EOD_16:00,0.63,0.1,3.175,-84.1,-168.25,False,False,225
2026-01-02,CALL,O:SPY260102C00686000,686.2,686.15,684.12,09:50,16:00,EOD_16:00,1.49,0.01,1.342,-99.3,-198.66,False,True,2
2026-01-05,CALL,O:SPY260105C00688000,687.66,687.64,686.38,10:00,16:00,EOD_16:00,0.56,0.02,3.571,-96.4,-192.86,False,False,128
2026-01-06,CALL,O:SPY260106C00689000,689.24,688.66,687.78,09:45,16:00,EOD_16:00,0.79,2.94,2.532,272.2,544.3,True,False,7
2026-01-07,CALL,O:SPY260107C00693000,693.2,692.79,691.71,11:40,16:00,EOD_16:00,0.45,0.01,4.444,-97.8,-195.56,False,False,7
2026-01-08,CALL,O:SPY260108C00690000,689.79,689.3,687.58,10:05,16:00,EOD_16:00,0.69,0.09,2.899,-87.0,-173.91,False,False,174
2026-01-09,CALL,O:SPY260109C00692000,692.47,692.29,690.46,10:20,16:00,EOD_16:00,0.91,2.0,2.198,119.8,239.56,True,False,5
2026-01-12,CALL,O:SPY260112C00693000,693.43,693.23,690.63,09:50,16:00,EOD_16:00,1.23,2.2,1.626,78.9,157.72,True,True,3
2026-01-14,PUT,O:SPY260114P00689000,688.72,691.72,689.45,09:55,16:00,EOD_16:00,1.64,0.01,1.22,-99.4,-198.78,False,False,64
2026-01-15,CALL,O:SPY260115C00695000,694.8,694.69,693.54,11:00,16:00,EOD_16:00,0.64,0.01,3.125,-98.4,-196.88,False,False,8
2026-01-16,PUT,O:SPY260116P00693000,692.88,694.25,693.11,09:50,16:00,EOD_16:00,0.96,1.24,2.083,29.2,58.33,True,False,29
2026-01-20,CALL,O:SPY260120C00684000,683.88,683.27,681.39,10:25,16:00,EOD_16:00,1.55,0.01,1.29,-99.4,-198.71,False,True,2
2026-01-21,PUT,O:SPY260121P00678000,678.37,680.7,678.97,12:10,15:58,EOD_16:00,0.83,0.01,2.41,-98.8,-197.59,False,True,1
2026-01-22,CALL,O:SPY260122C00691000,690.82,690.67,688.92,12:30,16:00,EOD_16:00,0.53,0.01,3.774,-98.1,-196.23,False,False,11
2026-01-26,CALL,O:SPY260126C00692000,692.38,692.29,689.92,09:50,16:00,EOD_16:00,1.2,0.71,1.667,-40.8,-81.67,False,False,42
2026-01-28,PUT,O:SPY260128P00697000,696.62,697.7,696.95,10:05,16:00,EOD_16:00,1.8,2.25,1.111,25.0,50.0,True,False,7
2026-01-29,PUT,O:SPY260129P00693000,692.98,697.06,693.17,09:50,16:00,EOD_16:00,1.92,0.23,1.042,-88.0,-176.04,False,False,56
2026-02-02,CALL,O:SPY260202C00693000,692.87,692.73,689.42,09:45,16:00,EOD_16:00,1.32,2.04,1.515,54.5,109.09,True,False,13
2026-02-03,PUT,O:SPY260203P00693000,693.48,696.96,694.9,09:55,16:00,EOD_16:00,0.71,3.29,2.817,363.4,726.76,True,False,7
2026-02-05,PUT,O:SPY260205P00677000,676.86,683.36,678.75,10:10,16:00,EOD_16:00,2.48,0.55,0.806,-77.8,-155.65,False,False,89
2026-02-06,CALL,O:SPY260206C00686000,685.65,685.57,680.85,10:25,16:00,EOD_16:00,1.71,4.35,1.17,154.4,308.77,True,True,2
2026-02-10,CALL,O:SPY260210C00696000,695.75,695.55,693.46,09:55,16:00,EOD_16:00,1.14,0.01,1.754,-99.1,-198.25,False,True,2
2026-02-13,CALL,O:SPY260213C00683000,682.94,682.51,677.52,10:25,16:00,EOD_16:00,1.95,0.01,1.026,-99.5,-198.97,False,False,65
2026-02-17,PUT,O:SPY260217P00678000,677.82,682.8,680.03,09:50,16:00,EOD_16:00,2.33,0.01,0.858,-99.6,-199.14,False,False,7
2026-02-19,PUT,O:SPY260219P00682000,682.44,684.75,682.47,12:55,16:00,EOD_16:00,0.88,0.01,2.273,-98.9,-197.73,False,False,7
2026-02-25,CALL,O:SPY260225C00692000,691.67,691.41,690.1,09:45,16:00,EOD_16:00,1.4,1.61,1.429,15.0,30.0,True,False,60
2026-03-02,CALL,O:SPY260302C00683000,683.22,682.46,678.02,09:45,16:00,EOD_16:00,2.06,3.41,0.971,65.5,131.07,True,False,5
2026-03-03,PUT,O:SPY260303P00672000,672.47,677.1,673.22,09:44,16:00,EOD_16:00,2.3,0.01,0.87,-99.6,-199.13,False,False,6
2026-03-04,CALL,O:SPY260304C00684000,684.45,683.52,680.02,10:15,16:00,EOD_16:00,1.71,0.94,1.17,-45.0,-90.06,False,False,26
2026-03-05,PUT,O:SPY260305P00681000,681.04,684.45,681.85,10:20,16:00,EOD_16:00,1.26,0.22,1.587,-82.5,-165.08,False,False,80
2026-03-09,CALL,O:SPY260309C00668000,668.12,667.63,663.64,10:50,16:00,EOD_16:00,1.82,10.8,1.099,493.4,986.81,True,False,5
2026-03-10,PUT,O:SPY260310P00675000,674.92,678.78,675.83,10:05,16:00,EOD_16:00,1.52,0.07,1.316,-95.4,-190.79,False,False,82
2026-03-11,PUT,O:SPY260311P00677000,676.69,678.5,677.17,09:45,16:00,EOD_16:00,1.99,1.02,1.005,-48.7,-97.49,False,False,64
2026-03-12,PUT,O:SPY260312P00669000,669.05,671.65,669.88,09:50,16:00,EOD_16:00,1.82,2.66,1.099,46.2,92.31,True,True,3
2026-03-16,CALL,O:SPY260316C00670000,669.99,669.76,667.69,09:45,16:00,EOD_16:00,2.09,0.03,0.957,-98.6,-197.13,False,False,94
2026-03-17,CALL,O:SPY260317C00674000,674.25,673.97,671.91,09:45,16:00,EOD_16:00,1.55,0.01,1.29,-99.4,-198.71,False,False,5
2026-03-18,PUT,O:SPY260318P00667000,667.16,669.56,667.88,10:10,16:00,EOD_16:00,1.69,5.46,1.183,223.1,446.15,True,False,10
2026-03-20,PUT,O:SPY260320P00655000,654.51,656.55,654.65,09:50,16:00,EOD_16:00,2.5,5.94,0.8,137.6,275.2,True,False,40
2026-03-23,CALL,O:SPY260323C00660000,659.56,659.54,656.07,09:50,16:00,EOD_16:00,2.11,0.02,0.948,-99.1,-198.1,False,False,41
2026-03-26,PUT,O:SPY260326P00650000,650.36,653.05,650.73,12:20,16:00,EOD_16:00,1.17,4.81,1.709,311.1,622.22,True,False,16
2026-03-27,PUT,O:SPY260327P00639000,639.05,642.66,639.77,09:55,16:00,EOD_16:00,2.03,5.54,0.985,172.9,345.81,True,False,6
2026-03-31,CALL,O:SPY260331C00642000,641.82,640.53,638.31,09:45,15:59,EOD_16:00,1.51,8.22,1.325,444.4,888.74,True,False,8
2026-04-01,PUT,O:SPY260401P00653000,653.23,656.05,653.36,09:45,16:00,EOD_16:00,1.82,0.03,1.099,-98.4,-196.7,False,False,54
2026-04-07,CALL,O:SPY260407C00658000,657.72,657.58,654.86,15:45,16:00,EOD_16:00,1.62,1.52,1.235,-6.2,-12.35,False,False,166
2026-04-09,CALL,O:SPY260409C00676000,676.42,675.79,674.43,11:15,16:00,EOD_16:00,1.06,3.87,1.887,265.1,530.19,True,False,4
2026-04-10,CALL,O:SPY260410C00682000,681.95,681.93,680.51,11:20,16:00,EOD_16:00,0.82,0.01,2.439,-98.8,-197.56,False,True,1
2026-04-13,CALL,O:SPY260413C00679000,678.79,677.93,676.58,09:45,16:00,EOD_16:00,0.57,6.87,3.509,1105.3,2210.53,True,True,3
2026-04-14,CALL,O:SPY260414C00690000,690.38,689.97,687.66,10:05,16:00,EOD_16:00,1.04,4.19,1.923,302.9,605.77,True,False,6
2026-04-15,CALL,O:SPY260415C00697000,696.63,696.35,694.2,10:20,16:00,EOD_16:00,0.66,2.6,3.03,293.9,587.88,True,False,12
2026-04-16,CALL,O:SPY260416C00701000,701.42,701.3,700.11,11:10,16:00,EOD_16:00,1.23,0.6,1.626,-51.2,-102.44,False,False,59
2026-04-17,CALL,O:SPY260417C00708000,707.72,707.61,705.97,09:50,16:00,EOD_16:00,1.15,2.15,1.739,87.0,173.91,True,False,16
2026-04-20,CALL,O:SPY260420C00710000,709.67,709.44,708.23,09:55,16:00,EOD_16:00,1.25,0.01,1.6,-99.2,-198.4,False,False,132
2026-04-21,CALL,O:SPY260421C00711000,710.64,710.45,708.75,09:50,16:00,EOD_16:00,1.03,0.01,1.942,-99.0,-198.06,False,True,2
2026-04-22,CALL,O:SPY260422C00709000,709.39,709.33,708.22,09:55,16:00,EOD_16:00,1.5,2.0,1.333,33.3,66.67,True,False,22
2026-04-23,CALL,O:SPY260423C00711000,710.96,710.6,709.22,09:45,16:00,EOD_16:00,1.16,0.01,1.724,-99.1,-198.28,False,False,46
2026-04-24,CALL,O:SPY260424C00711000,711.16,711.16,709.55,10:45,16:00,EOD_16:00,1.23,2.99,1.626,143.1,286.18,True,False,7
2026-04-27,PUT,O:SPY260427P00713000,712.84,714.41,712.87,11:15,16:00,EOD_16:00,1.02,0.04,1.961,-96.1,-192.16,False,False,42
2026-04-28,PUT,O:SPY260428P00710000,710.09,712.88,710.78,10:35,16:00,EOD_16:00,1.08,0.03,1.852,-97.2,-194.44,False,False,79
2026-04-29,PUT,O:SPY260429P00710000,709.55,711.19,709.92,11:50,16:00,EOD_16:00,1.7,0.37,1.176,-78.2,-156.47,False,False,56
2026-04-30,CALL,O:SPY260430C00715000,715.31,714.73,711.45,12:10,16:00,EOD_16:00,1.11,3.81,1.802,243.2,486.49,True,False,14
2026-05-01,CALL,O:SPY260501C00724000,724.17,722.62,720.74,09:55,16:00,EOD_16:00,0.82,0.01,2.439,-98.8,-197.56,False,False,7
2026-05-04,PUT,O:SPY260504P00719000,718.77,720.31,719.25,11:15,16:00,EOD_16:00,0.68,1.24,2.941,82.4,164.71,True,False,17
2026-05-05,CALL,O:SPY260505C00723000,722.53,722.48,721.49,09:55,16:00,EOD_16:00,0.92,0.85,2.174,-7.6,-15.22,False,False,35
2026-05-06,CALL,O:SPY260506C00730000,729.66,729.55,727.82,09:50,16:00,EOD_16:00,0.64,3.76,3.125,487.5,975.0,True,True,3
2026-05-07,CALL,O:SPY260507C00735000,735.18,735.13,734.16,10:35,16:00,EOD_16:00,0.94,0.01,2.128,-98.9,-197.87,False,False,41
2026-05-08,CALL,O:SPY260508C00736000,736.05,735.45,734.57,09:45,16:00,EOD_16:00,1.14,1.36,1.754,19.3,38.6,True,False,17
2026-05-12,PUT,O:SPY260512P00735000,735.11,737.22,735.51,09:55,16:00,EOD_16:00,1.27,0.01,1.575,-99.2,-198.43,False,False,22
2026-05-13,PUT,O:SPY260513P00736000,736.34,738.47,736.54,09:45,16:00,EOD_16:00,1.3,0.02,1.538,-98.5,-196.92,False,False,36
2026-05-14,CALL,O:SPY260514C00746000,745.7,745.63,743.56,09:45,16:00,EOD_16:00,1.33,2.28,1.504,71.4,142.86,True,False,13
2026-05-18,CALL,O:SPY260518C00741000,740.88,740.06,737.97,09:50,16:00,EOD_16:00,1.04,0.02,1.923,-98.1,-196.15,False,False,48
2026-05-19,PUT,O:SPY260519P00733000,733.34,735.66,733.45,10:05,16:00,EOD_16:00,1.65,0.19,1.212,-88.5,-176.97,False,False,110
2026-05-20,CALL,O:SPY260520C00737000,737.32,736.31,734.27,10:15,16:00,EOD_16:00,1.69,4.2,1.183,148.5,297.04,True,False,5
2026-05-22,CALL,O:SPY260522C00749000,748.74,748.16,745.65,13:25,16:00,EOD_16:00,0.36,0.01,5.556,-97.2,-194.44,False,False,34
2026-05-26,CALL,O:SPY260526C00751000,750.98,750.7,749.13,09:45,16:00,EOD_16:00,1.34,0.08,1.493,-94.0,-188.06,False,False,96
2026-05-27,PUT,O:SPY260527P00749000,749.18,751.3,749.23,11:15,16:00,EOD_16:00,1.05,0.06,1.905,-94.3,-188.57,False,False,97
2026-05-28,CALL,O:SPY260528C00751000,750.64,750.42,749.23,10:05,16:00,EOD_16:00,0.79,3.6,2.532,355.7,711.39,True,True,3
2026-05-29,CALL,O:SPY260529C00758000,757.63,757.49,755.5,09:45,16:00,EOD_16:00,1.14,0.03,1.754,-97.4,-194.74,False,False,85
2026-06-02,CALL,O:SPY260602C00758000,757.77,757.74,756.75,10:00,16:00,EOD_16:00,0.92,1.54,2.174,67.4,134.78,True,False,29
2026-06-03,PUT,O:SPY260603P00755000,755.11,758.8,756.48,09:45,15:59,EOD_16:00,1.16,1.19,1.724,2.6,5.17,True,False,172
2026-06-04,CALL,O:SPY260604C00754000,754.18,753.39,751.47,10:20,16:00,EOD_16:00,0.95,3.05,2.105,221.1,442.11,True,False,4
2026-06-05,PUT,O:SPY260605P00749000,749.45,752.82,750.27,09:45,16:00,EOD_16:00,1.26,11.37,1.587,802.4,1604.76,True,True,2
2026-06-08,CALL,O:SPY260608C00745000,745.0,744.51,741.48,10:55,16:00,EOD_16:00,1.13,0.01,1.77,-99.1,-198.23,False,True,1
2026-06-09,CALL,O:SPY260609C00747000,746.75,745.36,743.28,09:45,16:00,EOD_16:00,0.89,0.01,2.247,-98.9,-197.75,False,False,4
2026-06-10,PUT,O:SPY260610P00731000,730.68,736.25,731.5,11:10,16:00,EOD_16:00,2.66,5.92,0.752,122.6,245.11,True,False,4
2026-06-11,PUT,O:SPY260611P00726000,725.6,729.09,726.35,10:55,15:59,EOD_16:00,2.57,0.01,0.778,-99.6,-199.22,False,False,11
2026-06-12,CALL,O:SPY260612C00742000,741.68,740.89,735.79,10:50,16:00,EOD_16:00,1.17,0.12,1.709,-89.7,-179.49,False,False,175
2026-06-15,CALL,O:SPY260615C00754000,753.8,753.46,751.76,09:45,15:59,EOD_16:00,1.21,0.81,1.653,-33.1,-66.12,False,False,467
2026-06-17,PUT,O:SPY260617P00750000,749.88,751.54,750.14,09:55,15:59,EOD_16:00,1.76,8.98,1.136,410.2,820.45,True,False,27
2026-06-22,CALL,O:SPY260622C00750000,749.91,749.9,747.52,09:55,16:00,EOD_16:00,0.84,0.01,2.381,-98.8,-197.62,False,True,2
2026-06-24,PUT,O:SPY260624P00734000,733.82,737.29,734.32,13:15,15:59,EOD_16:00,1.04,1.27,1.923,22.1,44.23,True,False,24
2026-06-25,PUT,O:SPY260625P00733000,732.89,739.37,734.04,09:44,15:59,EOD_16:00,1.97,0.27,1.015,-86.3,-172.59,False,False,77
2026-06-29,CALL,O:SPY260629C00739000,739.26,739.25,735.3,13:05,15:59,EOD_16:00,0.99,1.81,2.02,82.8,165.66,True,False,51
2026-07-01,CALL,O:SPY260701C00745000,745.34,745.18,742.38,09:55,15:59,EOD_16:00,1.37,0.98,1.46,-28.5,-56.93,False,False,116
2026-07-02,CALL,O:SPY260702C00750000,750.4,750.25,747.1,09:45,16:00,EOD_16:00,1.43,0.01,1.399,-99.3,-198.6,False,True,3
2026-07-06,CALL,O:SPY260706C00750000,749.64,749.49,747.41,10:20,16:00,EOD_16:00,0.68,1.43,2.941,110.3,220.59,True,False,55
2026-07-08,PUT,O:SPY260708P00742000,742.32,744.75,742.64,10:35,15:59,EOD_16:00,1.48,0.01,1.351,-99.3,-198.65,False,False,20
2026-07-09,CALL,O:SPY260709C00749000,748.95,748.51,745.68,09:50,16:00,EOD_16:00,1.03,2.26,1.942,119.4,238.83,True,False,15
2026-07-10,CALL,O:SPY260710C00753000,753.25,753.22,751.8,11:25,16:00,EOD_16:00,1.05,2.07,1.905,97.1,194.29,True,False,16
2026-07-14,CALL,O:SPY260714C00752000,752.02,751.52,749.44,10:30,16:00,EOD_16:00,0.81,0.12,2.469,-85.2,-170.37,False,False,311
2026-07-16,PUT,O:SPY260716P00751000,751.05,753.52,751.09,09:44,16:00,EOD_16:00,1.44,0.62,1.389,-56.9,-113.89,False,False,105
2026-07-21,CALL,O:SPY260721C00747000,746.87,746.69,744.27,10:25,16:00,EOD_16:00,0.87,1.18,2.299,35.6,71.26,True,False,32
2026-07-23,PUT,O:SPY260723P00738000,738.14,742.56,738.47,10:50,16:00,EOD_16:00,1.48,0.31,1.351,-79.1,-158.11,False,False,126
2026-07-24,PUT,O:SPY260724P00738000,737.84,739.66,738.42,09:49,15:59,EOD_16:00,0.89,0.11,2.247,-87.6,-175.28,False,False,188
2026-07-28,CALL,O:SPY260728C00741000,740.57,739.49,736.56,11:15,15:59,EOD_16:00,0.72,0.26,2.778,-63.9,-127.78,False,False,235
2026-07-29,PUT,O:SPY260729P00738000,737.81,740.39,738.72,09:50,16:00,EOD_16:00,2.88,9.06,0.694,214.6,429.17,True,False,6
2026-07-30,CALL,O:SPY260730C00737000,737.4,736.79,734.63,09:45,16:00,EOD_16:00,2.15,4.46,0.93,107.4,214.88,True,False,7
