paper_trade_id,underlying,status,entry_time,probability_of_profit,expected_value,capital_at_risk,selected_score,leg_count
ase_pt_b5a80c476a354e47,TEST,OPEN,2026-07-17 05:32:26.101869+00,0.5500,-3.2010,1349.70,0.5050,4
ase_pt_5060831c6ba74a92,TEST,OPEN,2026-07-17 05:32:26.01024+00,0.5500,-2.6866,726.26,0.5050,4
ase_pt_daf29f93819041a8,TEST,OPEN,2026-07-17 05:32:25.923391+00,0.5500,-3.4584,972.84,0.5050,4
ase_pt_17a87aa5b5ef41d5,TEST,OPEN,2026-07-17 05:32:25.821311+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_c693893a29cf4a5c,TEST,OPEN,2026-07-17 05:32:25.720868+00,0.5500,-2.5882,801.12,0.5050,4
ase_pt_a41cbde2d94b40f5,TEST,OPEN,2026-07-17 05:32:25.634287+00,0.5500,-4.0980,1303.00,0.5050,8
ase_pt_f0cf4e295eb34ac4,TEST,OPEN,2026-07-17 05:32:25.545364+00,0.5500,-2.2023,677.83,0.5050,4
ase_pt_a84f030dddc84b5c,TEST,OPEN,2026-07-17 05:32:25.467573+00,0.5500,-2.3938,712.93,0.5050,4
ase_pt_bfac9a1717b7484c,TEST,OPEN,2026-07-17 05:32:25.385782+00,0.5500,3.3566,184.64,0.7050,4
ase_pt_19b4607ee28b4e4b,TEST,OPEN,2026-07-17 05:32:25.185374+00,0.5500,-3.5754,946.04,0.5050,4
ase_pt_b0eeb4319ad54360,TEST,OPEN,2026-07-17 05:32:25.079914+00,0.5500,-1.7180,629.40,0.5050,4
ase_pt_793e28749bc24fce,TEST,OPEN,2026-07-17 05:32:25.016198+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_3632906f3796405f,TEST,OPEN,2026-07-17 05:32:24.947828+00,0.5500,0.3838,74.09,0.7050,3
ase_pt_00aa4dfd26224440,TEST,OPEN,2026-07-17 05:32:24.700646+00,0.5500,-0.5215,454.43,0.5050,3
ase_pt_7306e190b47841d5,TEST,OPEN,2026-07-17 05:32:24.413133+00,0.5500,0.8986,11.88,0.7050,6
ase_pt_61d345b280ce4300,TEST,OPEN,2026-07-17 05:32:24.264388+00,0.5500,0.1373,0.84,0.7050,3
ase_pt_80b5cd91d5bc4242,TEST,OPEN,2026-07-17 05:32:24.128712+00,0.5500,1.2069,56.13,0.7050,3
ase_pt_2d62d52019a541bb,TEST,OPEN,2026-07-17 05:32:24.05397+00,0.5500,0.7677,117.29,0.7050,3
ase_pt_9179e74a98ee4988,TEST,OPEN,2026-07-17 05:32:23.946569+00,0.5500,0.2176,203.18,0.7050,3
ase_pt_a9ede8c2b6164324,TEST,OPEN,2026-07-17 05:32:23.854857+00,0.5500,0.2584,150.98,0.7050,3
ase_pt_138b12dca04a4839,TEST,OPEN,2026-07-17 05:32:23.770959+00,0.5500,0.2584,150.98,0.7050,3
ase_pt_e9774f4255124adc,TEST,OPEN,2026-07-17 05:32:23.694187+00,0.5500,-1.3478,794.78,0.5050,4
ase_pt_28328029a7f34d5d,TEST,OPEN,2026-07-17 05:32:23.624214+00,0.5500,0.4493,5.94,0.7050,3
ase_pt_63310aeadd5649cd,TEST,OPEN,2026-07-17 05:32:23.544098+00,0.5500,0.4493,5.94,0.7050,3
ase_pt_07b1b4e5014545b3,TEST,OPEN,2026-07-17 05:32:23.463671+00,0.5500,1.7946,250.64,0.7050,4
ase_pt_6aca195c5bfb4fb8,TEST,OPEN,2026-07-17 05:32:23.382627+00,0.5500,0.6678,324.32,0.7050,4
ase_pt_77eb0b5360724f38,TEST,OPEN,2026-07-17 05:32:23.287197+00,0.5500,104.2176,902.44,0.7050,4
ase_pt_cc391a931e4f47f4,TEST,OPEN,2026-07-17 05:32:23.196414+00,0.5500,-2.1196,1041.36,0.5050,4
ase_pt_f718bcf91c2f4cf6,TEST,OPEN,2026-07-17 05:32:23.071759+00,0.5500,99.3667,1033.90,0.7050,2
ase_pt_47b045d3637a422d,TEST,OPEN,2026-07-17 05:32:22.996387+00,0.5500,209.6075,980.39,0.7050,2
ase_pt_9c0bca498cd943c1,TEST,OPEN,2026-07-17 05:32:22.861307+00,0.5500,97.7666,861.10,0.7050,2
ase_pt_cecf9ac515e84f97,TEST,OPEN,2026-07-17 05:32:22.759344+00,0.5500,102.9914,671.43,0.7050,2
ase_pt_3cb297ccec4d4a6f,TEST,OPEN,2026-07-17 05:32:22.683003+00,0.5500,-1.0254,570.14,0.5050,2
ase_pt_e027cb165fd34219,TEST,OPEN,2026-07-17 05:32:22.623377+00,0.5500,0.6678,324.32,0.7050,4
ase_pt_97bde6ee96964044,TEST,OPEN,2026-07-17 05:32:22.560579+00,0.5500,0.9392,358.48,0.7050,2
ase_pt_24be3ac5a5824fcf,TEST,OPEN,2026-07-17 05:32:22.519737+00,0.5500,0.9392,358.48,0.7050,2
ase_pt_7f0e2dbd0444465a,TEST,OPEN,2026-07-17 05:32:22.45693+00,0.5500,0.2391,217.07,0.7050,2
ase_pt_490447f9a8614b5a,TEST,OPEN,2026-07-17 05:32:22.374899+00,0.5500,-7.1139,1580.87,0.5050,2
ase_pt_6c43af51552e48ae,TEST,OPEN,2026-07-17 05:32:22.294393+00,0.5500,-7.1139,1580.87,0.5050,2
ase_pt_c940efd2a9954b9d,TEST,OPEN,2026-07-17 05:32:22.246551+00,0.5500,1.8670,352.22,0.7050,4
ase_pt_b02668e8ecc4498d,TEST,OPEN,2026-07-17 05:32:22.201983+00,0.5500,0.2420,305.55,0.7050,2
ase_pt_cf1c0cd326094aec,TEST,OPEN,2026-07-17 05:32:22.153935+00,0.5500,0.2391,217.07,0.7050,2
ase_pt_4be2cf80d3624f25,TEST,OPEN,2026-07-17 05:32:22.115627+00,0.5500,0.0653,447.01,0.7050,2
ase_pt_fadfe86140af455a,TEST,OPEN,2026-07-17 05:32:22.067565+00,0.5500,0.0653,447.01,0.7050,2
ase_pt_5d0d01f3280c46b1,TEST,OPEN,2026-07-17 05:32:22.030638+00,0.5500,0.3576,293.99,0.7050,2
ase_pt_284fd697de8f4add,TEST,OPEN,2026-07-17 05:32:21.987694+00,0.5500,-4.5609,1013.54,0.5050,2
ase_pt_0ba8a78cd5cc44df,TEST,OPEN,2026-07-17 05:32:21.949594+00,0.5500,-4.5609,1013.54,0.5050,2
ase_pt_192d57c47a354464,TEST,OPEN,2026-07-17 05:32:21.904463+00,0.5500,0.3339,162.16,0.7050,2
ase_pt_705b599905dc4225,TEST,OPEN,2026-07-17 05:32:21.866458+00,0.5500,-0.6647,597.66,0.5050,4
ase_pt_14dcb91297be4845,TEST,OPEN,2026-07-17 05:32:21.826481+00,0.5500,-0.3324,298.83,0.5050,2
ase_pt_0341f5cb79124671,TEST,OPEN,2026-07-17 05:32:21.652264+00,0.5500,0.0945,191.23,0.7050,2
ase_pt_d87d772111f84a26,TEST,OPEN,2026-07-17 05:32:21.597134+00,0.5500,0.3339,162.16,0.7050,2
ase_pt_8ed093812bf24ba3,TEST,OPEN,2026-07-17 05:32:21.5436+00,0.5500,0.3339,162.16,0.7050,2
ase_pt_3159c7198f9847ca,TEST,OPEN,2026-07-17 05:32:21.501437+00,0.5500,1.1837,67.53,0.7050,4
ase_pt_c319fad03c394a4c,TEST,OPEN,2026-07-17 05:32:21.385381+00,0.5500,1.1837,67.53,0.7050,4
ase_pt_fc496f6591134f0d,TEST,OPEN,2026-07-17 05:32:21.152036+00,0.5500,2.7755,108.00,0.7050,2
ase_pt_f3ac3c34466c4fa7,TEST,OPEN,2026-07-17 05:32:20.980342+00,0.5500,-1.2053,380.68,0.5050,2
ase_pt_d69231f049ab4610,TEST,OPEN,2026-07-17 05:32:20.903744+00,0.5500,3.9773,728.12,0.7050,2
ase_pt_f57567ca8d45430f,TEST,OPEN,2026-07-17 05:32:20.801446+00,0.5500,2.5365,261.15,0.7050,2
ase_pt_11864dfe6e164f25,TEST,OPEN,2026-07-17 05:32:20.752117+00,0.5500,0.2964,91.91,0.7050,2
ase_pt_45c6ec985311418b,TEST,OPEN,2026-07-17 05:32:20.699064+00,0.5500,-0.9266,277.46,0.5050,2
ase_pt_24a77f31cca74e21,TEST,OPEN,2026-07-17 05:32:20.633459+00,0.5500,-0.8590,314.70,0.5050,2
ase_pt_4ee635f1de7648c7,TEST,OPEN,2026-07-17 05:32:20.564229+00,0.5500,1.2750,101.30,0.7050,2
ase_pt_5b47757a95a44adf,TEST,OPEN,2026-07-17 05:32:20.509794+00,0.5500,0.0270,177.15,0.6590,2
ase_pt_36e8e261e3e1469f,TEST,OPEN,2026-07-17 05:32:20.45168+00,0.5500,0.8582,168.83,0.7050,2
ase_pt_952d56fbc7614422,TEST,OPEN,2026-07-17 05:32:20.258982+00,0.5500,2.7755,108.00,0.7050,2
ase_pt_745a857919564dfc,TEST,OPEN,2026-07-17 05:32:20.193106+00,0.5500,-1.2053,380.68,0.5050,2
ase_pt_90ec6ab58d4a433f,TEST,OPEN,2026-07-17 05:32:20.142004+00,0.5500,3.9773,728.12,0.7050,2
ase_pt_6cbd35962d814902,TEST,OPEN,2026-07-17 05:32:20.085124+00,0.5500,2.5365,261.15,0.7050,2
ase_pt_40a66873201c42c8,TEST,OPEN,2026-07-17 05:32:20.035414+00,0.5500,0.2964,91.91,0.7050,2
ase_pt_78a93830b36e4989,TEST,OPEN,2026-07-17 05:32:19.972438+00,0.5500,-0.9266,277.46,0.5050,2
ase_pt_7973611a7c8d4405,TEST,OPEN,2026-07-17 05:32:19.920491+00,0.5500,-0.8590,314.70,0.5050,2
ase_pt_e27c631c24c34820,TEST,OPEN,2026-07-17 05:32:19.851233+00,0.5500,1.2750,101.30,0.7050,2
ase_pt_8dc0c46744d64953,TEST,OPEN,2026-07-17 05:32:19.787749+00,0.5500,0.0270,177.15,0.6590,2
ase_pt_c10d6a979ce8484c,TEST,OPEN,2026-07-17 05:32:19.694399+00,0.5500,0.8582,168.83,0.7050,2
ase_pt_b19c89664d8d4c91,TEST,OPEN,2026-07-17 05:32:19.508969+00,0.5500,-7.1139,1580.87,0.5050,2
ase_pt_835d7f1f28f84c85,TEST,OPEN,2026-07-17 05:32:19.45277+00,0.5500,-7.1139,1580.87,0.5050,2
ase_pt_2c74697a3b3b4846,TEST,OPEN,2026-07-17 05:32:19.100877+00,0.5500,39.3476,100.04,0.7050,1
ase_pt_6c35449f5e404fff,TEST,OPEN,2026-07-17 05:32:19.040418+00,0.5500,106.0116,764.04,0.7050,1
ase_pt_1ea1196300224d4b,TEST,OPEN,2026-07-17 05:32:18.982547+00,0.5500,31.4039,675.51,0.7050,1
ase_pt_b52bfbe48bc7409c,TEST,OPEN,2026-07-17 05:32:18.926515+00,0.5500,98.4659,1737.51,0.7050,1
ase_pt_32ac03879c054b1d,TEST,OPEN,2026-07-17 05:32:18.793389+00,0.5500,40.5034,491.56,0.7050,1
ase_pt_d65d6f9ae7c349d2,TEST,OPEN,2026-07-17 05:32:18.670091+00,0.5500,106.2454,233.56,0.7050,1
ase_pt_0910e43b7e134256,TEST,OPEN,2026-07-17 05:31:46.936707+00,0.5500,-0.3357,583.57,0.5050,8
ase_pt_9193accc15f84997,TEST,OPEN,2026-07-17 05:31:46.753639+00,0.5500,2.5009,145.76,0.7050,6
ase_pt_5512d71f7e0c419d,TEST,OPEN,2026-07-17 05:31:46.656652+00,0.5500,38.1081,424.19,0.7050,5
ase_pt_e0d7f801595e436e,TEST,OPEN,2026-07-17 05:31:46.532162+00,0.5500,-0.1234,232.34,0.5050,4
ase_pt_f850c3bdc79c409b,TEST,OPEN,2026-07-17 05:31:46.394788+00,0.5500,0.6671,263.29,0.7050,2
ase_pt_085f5f6f88514de6,TEST,OPEN,2026-07-17 05:31:46.336773+00,0.5500,106.1571,109.29,0.7050,1
ase_pt_82b4b4830f9b44d1,TEST,OPEN,2026-07-17 05:31:46.239512+00,0.5500,2.7149,117.36,0.7050,2
ase_pt_6e3199cc0c054c4a,TEST,OPEN,2026-07-17 05:31:46.16104+00,0.5500,95.9490,963.62,0.7050,2
ase_pt_ae94e90407ed4ee8,TEST,OPEN,2026-07-17 05:31:46.085497+00,0.5500,-2.6866,726.26,0.5050,4
ase_pt_8866dcbf077e4891,TEST,OPEN,2026-07-17 05:31:46.004056+00,0.5500,-2.1196,1041.36,0.5050,4
ase_pt_7c3c312e45784293,TEST,OPEN,2026-07-17 05:31:45.918735+00,0.5500,0.4493,5.94,0.7050,3
ase_pt_f1c574b9890e4d08,TEST,OPEN,2026-07-17 05:31:45.8448+00,0.5500,0.8582,168.83,0.7050,2
ase_pt_f3bb6a0a294543f3,TEST,OPEN,2026-07-17 05:31:45.765986+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_87f340e043e5485d,TEST,OPEN,2026-07-17 05:31:45.667253+00,0.5500,-0.7297,162.16,0.5050,2
ase_pt_44733944cf074383,TEST,OPEN,2026-07-17 05:31:45.59981+00,0.5500,-3.4584,972.84,0.5050,4
ase_pt_11a533f7ddb84c21,TEST,OPEN,2026-07-17 05:31:45.453134+00,0.5500,0.3838,74.09,0.7050,3
ase_pt_e765019aac214b30,TEST,OPEN,2026-07-17 05:31:45.38097+00,0.5500,97.7666,861.10,0.7050,2
ase_pt_1bc8f735bf054b14,TEST,OPEN,2026-07-17 05:31:45.247555+00,0.5500,102.9914,671.43,0.7050,2
ase_pt_afb8e8c13d074159,TEST,OPEN,2026-07-17 05:31:45.13819+00,0.5500,-0.7297,162.16,0.5050,2
ase_pt_c5fdce8b34414e05,TEST,OPEN,2026-07-17 05:31:45.044143+00,0.5500,102.9914,671.43,0.7050,2
ase_pt_da861c9b34664bdb,TEST,OPEN,2026-07-17 05:31:44.971244+00,0.5500,-2.7994,937.74,0.5050,4
ase_pt_102122e7c9aa4c81,TEST,OPEN,2026-07-17 05:31:44.886247+00,0.5500,1.6168,86.51,0.7050,4
ase_pt_c1c2c821260347b3,TEST,OPEN,2026-07-17 05:31:44.766058+00,0.5500,2.7705,46.90,0.7050,2
ase_pt_c1e850d101f94cfc,TEST,OPEN,2026-07-17 05:31:44.691598+00,0.5500,1.7339,21.86,0.7050,2
ase_pt_efb8edaa521b47e8,TEST,OPEN,2026-07-17 05:31:44.603072+00,0.5500,3.6276,466.64,0.7050,4
ase_pt_471b2b947e7240f9,TEST,OPEN,2026-07-17 05:31:44.513098+00,0.5500,-2.1196,1041.36,0.5050,4
ase_pt_5d288026450343df,TEST,OPEN,2026-07-17 05:31:44.425557+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_d5cd7abcf3714a9e,TEST,OPEN,2026-07-17 05:31:44.226734+00,0.5500,1.3928,83.72,0.7050,3
ase_pt_9e412b9c46f64e91,TEST,OPEN,2026-07-17 05:31:44.150956+00,0.5500,1.3928,83.72,0.7050,3
ase_pt_19ab29c2e07f4f23,TEST,OPEN,2026-07-17 05:31:43.912466+00,0.5500,39.7884,950.81,0.7050,2
ase_pt_a14c917b2b5f4bac,TEST,OPEN,2026-07-17 05:31:43.774257+00,0.5500,102.8397,429.07,0.7050,2
ase_pt_856dbff788e84c4c,TEST,OPEN,2026-07-17 05:31:43.648514+00,0.5500,-3.2010,1349.70,0.5050,4
ase_pt_bfcbb0e9be454d9a,TEST,OPEN,2026-07-17 05:31:43.576142+00,0.5500,-2.6866,726.26,0.5050,4
ase_pt_01cb82e33a8c4e04,TEST,OPEN,2026-07-17 05:31:43.485918+00,0.5500,-3.4584,972.84,0.5050,4
ase_pt_458f750d5f74431b,TEST,OPEN,2026-07-17 05:31:43.404748+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_f44fe45a5946442a,TEST,OPEN,2026-07-17 05:31:43.331539+00,0.5500,-2.5882,801.12,0.5050,4
ase_pt_937913978a7345bf,TEST,OPEN,2026-07-17 05:31:43.22851+00,0.5500,-4.0980,1303.00,0.5050,8
ase_pt_8f40bc8450a040f2,TEST,OPEN,2026-07-17 05:31:43.099453+00,0.5500,-2.2023,677.83,0.5050,4
ase_pt_c13e4aa9be584415,TEST,OPEN,2026-07-17 05:31:42.906365+00,0.5500,-2.3938,712.93,0.5050,4
ase_pt_06edc199b341480c,TEST,OPEN,2026-07-17 05:31:42.749002+00,0.5500,3.3566,184.64,0.7050,4
ase_pt_7551bc0b96784b8d,TEST,OPEN,2026-07-17 05:31:42.539244+00,0.5500,-3.5754,946.04,0.5050,4
ase_pt_2611a56fa69b4883,TEST,OPEN,2026-07-17 05:31:42.460252+00,0.5500,-1.7180,629.40,0.5050,4
ase_pt_e1b41c6235bb41f8,TEST,OPEN,2026-07-17 05:31:42.384538+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_69d1459f2919466e,TEST,OPEN,2026-07-17 05:31:42.201493+00,0.5500,0.3838,74.09,0.7050,3
ase_pt_a1d17b4de5fb4ab9,TEST,OPEN,2026-07-17 05:31:42.069256+00,0.5500,-0.5215,454.43,0.5050,3
ase_pt_19fd1a1afed14598,TEST,OPEN,2026-07-17 05:31:41.883617+00,0.5500,0.8986,11.88,0.7050,6
ase_pt_758e90c2983f47df,TEST,OPEN,2026-07-17 05:31:41.480926+00,0.5500,0.1373,0.84,0.7050,3
ase_pt_857897d4d0ff4f19,TEST,OPEN,2026-07-17 05:31:41.404333+00,0.5500,1.2069,56.13,0.7050,3
ase_pt_ddaaad97b7254e99,TEST,OPEN,2026-07-17 05:31:41.290154+00,0.5500,0.7677,117.29,0.7050,3
ase_pt_0b933a575f704d7e,TEST,OPEN,2026-07-17 05:31:41.19292+00,0.5500,0.2176,203.18,0.7050,3
ase_pt_f13c06fdca6c4252,TEST,OPEN,2026-07-17 05:31:41.128044+00,0.5500,0.2584,150.98,0.7050,3
ase_pt_48c41c48d3a14ba2,TEST,OPEN,2026-07-17 05:31:41.043495+00,0.5500,0.2584,150.98,0.7050,3
ase_pt_75bb9bbffddc42a9,TEST,OPEN,2026-07-17 05:31:40.961885+00,0.5500,-1.3478,794.78,0.5050,4
ase_pt_7fdb187c20744630,TEST,OPEN,2026-07-17 05:31:40.730882+00,0.5500,0.4493,5.94,0.7050,3
ase_pt_23883886b1684ced,TEST,OPEN,2026-07-17 05:31:40.565476+00,0.5500,0.4493,5.94,0.7050,3
ase_pt_971b825f23974ec3,TEST,OPEN,2026-07-17 05:31:39.711816+00,0.5500,1.7946,250.64,0.7050,4
ase_pt_4bc71f3c83f84bc1,TEST,OPEN,2026-07-17 05:31:39.625683+00,0.5500,0.6678,324.32,0.7050,4
ase_pt_9304bdbefbc643c7,TEST,OPEN,2026-07-17 05:31:39.556374+00,0.5500,104.2176,902.44,0.7050,4
ase_pt_9ad847fa6c644d6e,TEST,OPEN,2026-07-17 05:31:39.45992+00,0.5500,-2.1196,1041.36,0.5050,4
ase_pt_693ad4c178f244e6,TEST,OPEN,2026-07-17 05:31:39.365193+00,0.5500,99.3667,1033.90,0.7050,2
ase_pt_0dc66601fbd449ff,TEST,OPEN,2026-07-17 05:31:39.309789+00,0.5500,209.6075,980.39,0.7050,2
ase_pt_5f73e4e368ee4c19,TEST,OPEN,2026-07-17 05:31:39.194311+00,0.5500,97.7666,861.10,0.7050,2
ase_pt_a177f80b7b324348,TEST,OPEN,2026-07-17 05:31:39.111083+00,0.5500,102.9914,671.43,0.7050,2
ase_pt_25c87bb09bcb4d9e,TEST,OPEN,2026-07-17 05:31:39.021075+00,0.5500,-1.0254,570.14,0.5050,2
ase_pt_ad40ee17f4b24319,TEST,OPEN,2026-07-17 05:31:38.966773+00,0.5500,0.6678,324.32,0.7050,4
ase_pt_f02c2b0e4ea846d5,TEST,OPEN,2026-07-17 05:31:38.926489+00,0.5500,0.9392,358.48,0.7050,2
ase_pt_071dfaed07c840a7,TEST,OPEN,2026-07-17 05:31:38.873155+00,0.5500,0.9392,358.48,0.7050,2
ase_pt_abd22434ae404043,TEST,OPEN,2026-07-17 05:31:38.831473+00,0.5500,0.2391,217.07,0.7050,2
ase_pt_685e2dc764044b0a,TEST,OPEN,2026-07-17 05:31:38.773132+00,0.5500,-7.1139,1580.87,0.5050,2
ase_pt_c66cffc7f7554a9e,TEST,OPEN,2026-07-17 05:31:38.716239+00,0.5500,-7.1139,1580.87,0.5050,2
ase_pt_9d28f94eaeaf4126,TEST,OPEN,2026-07-17 05:31:38.614684+00,0.5500,1.8670,352.22,0.7050,4
ase_pt_95154129d2f04501,TEST,OPEN,2026-07-17 05:31:38.557635+00,0.5500,0.2420,305.55,0.7050,2
ase_pt_9c780403c45a475f,TEST,OPEN,2026-07-17 05:31:38.488408+00,0.5500,0.2391,217.07,0.7050,2
ase_pt_4a733320cf6c430b,TEST,OPEN,2026-07-17 05:31:38.446343+00,0.5500,0.0653,447.01,0.7050,2
ase_pt_8c79bccb949e4c7e,TEST,OPEN,2026-07-17 05:31:38.367968+00,0.5500,0.0653,447.01,0.7050,2
ase_pt_12552ba816c647a6,TEST,OPEN,2026-07-17 05:31:38.329448+00,0.5500,0.3576,293.99,0.7050,2
ase_pt_d9415203c20b46f6,TEST,OPEN,2026-07-17 05:31:38.254182+00,0.5500,-4.5609,1013.54,0.5050,2
ase_pt_9f6f3232705d4af8,TEST,OPEN,2026-07-17 05:31:38.221333+00,0.5500,-4.5609,1013.54,0.5050,2
ase_pt_e94e06bd9ba64a13,TEST,OPEN,2026-07-17 05:31:38.156266+00,0.5500,0.3339,162.16,0.7050,2
ase_pt_b0b1fcb3e5e440bf,TEST,OPEN,2026-07-17 05:31:38.124939+00,0.5500,-0.6647,597.66,0.5050,4
ase_pt_1ecbc30e80024867,TEST,OPEN,2026-07-17 05:31:38.037508+00,0.5500,-0.3324,298.83,0.5050,2
ase_pt_8b4dd53a96554dfd,TEST,OPEN,2026-07-17 05:31:37.976781+00,0.5500,0.0945,191.23,0.7050,2
ase_pt_9c7a74fa838e4e13,TEST,OPEN,2026-07-17 05:31:37.935548+00,0.5500,0.3339,162.16,0.7050,2
ase_pt_eaf300904a6b46b0,TEST,OPEN,2026-07-17 05:31:37.890909+00,0.5500,0.3339,162.16,0.7050,2
ase_pt_b78de49d410c4b6a,TEST,OPEN,2026-07-17 05:31:37.851263+00,0.5500,1.1837,67.53,0.7050,4
ase_pt_1a312a5f3dae490c,TEST,OPEN,2026-07-17 05:31:37.737924+00,0.5500,1.1837,67.53,0.7050,4
ase_pt_b3196782bca54c2f,TEST,OPEN,2026-07-17 05:31:37.463788+00,0.5500,2.7755,108.00,0.7050,2
ase_pt_9718d1dd9d2d406c,TEST,OPEN,2026-07-17 05:31:37.390302+00,0.5500,-1.2053,380.68,0.5050,2
ase_pt_25af5afd3fb64392,TEST,OPEN,2026-07-17 05:31:37.34298+00,0.5500,3.9773,728.12,0.7050,2
ase_pt_51aca08bd0af4f10,TEST,OPEN,2026-07-17 05:31:37.269238+00,0.5500,2.5365,261.15,0.7050,2
ase_pt_adbf72e54bee4e93,TEST,OPEN,2026-07-17 05:31:37.178796+00,0.5500,0.2964,91.91,0.7050,2
ase_pt_4a739bd10d40478e,TEST,OPEN,2026-07-17 05:31:37.07568+00,0.5500,-0.9266,277.46,0.5050,2
ase_pt_90b15fbbc1784cbe,TEST,OPEN,2026-07-17 05:31:36.981944+00,0.5500,-0.8590,314.70,0.5050,2
ase_pt_5d475d0436df49e3,TEST,OPEN,2026-07-17 05:31:36.888653+00,0.5500,1.2750,101.30,0.7050,2
ase_pt_cb4bcbf8a2d84d5f,TEST,OPEN,2026-07-17 05:31:36.799169+00,0.5500,0.0270,177.15,0.6590,2
