id,paper_trade_id,asset_type,buy_or_sell,mid,strike,expiration
76,ase_pt_c9285bac7ab4456a,CALL,LONG,6.0000,175.0000,2026-08-21
77,ase_pt_c9285bac7ab4456a,PUT,LONG,6.0000,175.0000,2026-08-21
79,ase_pt_f03d8213adaf4693,CALL,LONG,2.2000,185.0000,2026-08-21
80,ase_pt_6cb43827aca54901,CALL,LONG,1.0500,195.0000,2026-08-21
82,ase_pt_6cb43827aca54901,PUT,LONG,1.1500,155.0000,2026-08-21
83,ase_pt_425af45e774a4d75,CALL,LONG,8.0000,170.0000,2026-08-21
85,ase_pt_f81f75f7f93c45bd,CALL,LONG,7.2500,175.0000,2026-08-21
86,ase_pt_128484047a824332,CALL,LONG,9.7500,170.0000,2026-08-21
88,ase_pt_ea65248f920c4afd,PUT,LONG,8.3000,180.0000,2026-08-21
91,ase_pt_0b70f91107a2450c,CALL,LONG,8.2500,175.0000,2026-09-18
93,ase_pt_14f3d29356e1406e,CALL,LONG,9.3000,170.0000,2026-09-18
94,ase_pt_bacc84d4772d447c,CALL,LONG,12.7500,165.0000,2026-08-21
96,ase_pt_bacc84d4772d447c,CALL,LONG,2.3000,185.0000,2026-08-21
98,ase_pt_d08c204af0aa4d79,PUT,LONG,0.6800,145.0000,2026-08-21
100,ase_pt_d08c204af0aa4d79,CALL,LONG,0.7300,205.0000,2026-08-21
101,ase_pt_413ea62f4d2f4494,CALL,LONG,6.0000,175.0000,2026-08-21
102,ase_pt_413ea62f4d2f4494,PUT,LONG,6.0000,175.0000,2026-08-21
104,ase_pt_441256588f4a4d41,CALL,LONG,2.2000,185.0000,2026-08-21
105,ase_pt_e5231e71990f4568,CALL,LONG,1.0500,195.0000,2026-08-21
107,ase_pt_e5231e71990f4568,PUT,LONG,1.1500,155.0000,2026-08-21
108,ase_pt_31a61421b62646dc,CALL,LONG,2.3356,102.5800,2026-08-21
109,ase_pt_82123c62b1164c60,PUT,LONG,4.9156,102.5800,2026-08-21
110,ase_pt_3795820de110476a,CALL,LONG,17.3751,89.3800,2027-07-16
111,ase_pt_b81ee0040f7d4f04,PUT,LONG,6.7551,89.3800,2027-07-16
112,ase_pt_09120c21e9ab423c,CALL,LONG,7.6404,93.3600,2026-08-21
113,ase_pt_5777f328ee784956,PUT,LONG,1.0004,93.3600,2026-08-21
114,ase_pt_2131ca79b52849e6,CALL,LONG,17.3751,89.3800,2027-07-16
116,ase_pt_426a457a5c514b82,PUT,LONG,6.7551,89.3800,2027-07-16
118,ase_pt_ab7790faa1c546cf,CALL,LONG,3.2547,100.3700,2026-08-21
120,ase_pt_90aebf88d50e4c5e,CALL,LONG,5.0262,97.1000,2026-08-21
122,ase_pt_81d385620a0340d0,CALL,LONG,1.9345,103.7500,2026-08-21
125,ase_pt_259c9ec7c0bb44ad,CALL,LONG,0.9215,107.9100,2026-08-21
127,ase_pt_efe0d09f127f4b5e,CALL,LONG,0.6432,109.7300,2026-08-21
128,ase_pt_8fc139721c9c4d94,CALL,LONG,3.2547,100.3700,2026-08-21
130,ase_pt_3c7ddbca75b940eb,CALL,LONG,3.2547,100.3700,2026-08-21
132,ase_pt_0ee34056a5ba483e,CALL,LONG,13.3288,96.9500,2027-07-16
135,ase_pt_bda5c6e34e8646be,CALL,LONG,0.6432,109.7300,2026-08-21
136,ase_pt_549092c247454f84,CALL,LONG,3.2547,100.3700,2026-08-21
138,ase_pt_19d58ab0083c4d4e,PUT,LONG,3.6247,100.3700,2026-08-21
140,ase_pt_38c8440699ab4e45,PUT,LONG,2.1262,97.1000,2026-08-21
142,ase_pt_36741c707c0f4b62,PUT,LONG,5.6845,103.7500,2026-08-21
145,ase_pt_bf38b5588ca045ca,PUT,LONG,8.8315,107.9100,2026-08-21
147,ase_pt_40905bcdfaae4348,PUT,LONG,10.3732,109.7300,2026-08-21
148,ase_pt_1f5c6dbfe19748df,PUT,LONG,3.6247,100.3700,2026-08-21
150,ase_pt_1aeab363df7b46d9,PUT,LONG,3.6247,100.3700,2026-08-21
152,ase_pt_3a64d9fcbff1414d,PUT,LONG,10.2788,96.9500,2027-07-16
155,ase_pt_01fef25551624710,PUT,LONG,10.3732,109.7300,2026-08-21
156,ase_pt_9f12756001424bb1,PUT,LONG,3.6247,100.3700,2026-08-21
158,ase_pt_b31a4d1261f343e9,CALL,LONG,3.2547,100.3700,2026-08-21
161,ase_pt_b31a4d1261f343e9,PUT,LONG,8.8315,107.9100,2026-08-21
162,ase_pt_2b6fcc40f3494051,PUT,LONG,3.6247,100.3700,2026-08-21
165,ase_pt_2b6fcc40f3494051,CALL,LONG,0.9215,107.9100,2026-08-21
167,ase_pt_99cb0be7029b4a82,CALL,LONG,4.5063,100.7400,2026-09-18
169,ase_pt_922c42b2e24d4fb5,PUT,LONG,5.2463,100.7400,2026-09-18
171,ase_pt_30c9f7f099f04656,CALL,LONG,6.9385,96.1300,2026-09-18
173,ase_pt_e1b81c458fdd4e71,CALL,LONG,2.1747,107.3800,2026-09-18
175,ase_pt_76bbcd4f1f4f4321,CALL,LONG,2.1747,107.3800,2026-09-18
177,ase_pt_76bbcd4f1f4f4321,PUT,LONG,9.5547,107.3800,2026-09-18
179,ase_pt_348d05419ab448e7,CALL,LONG,4.5063,100.7400,2026-09-18
181,ase_pt_583071390312407f,CALL,LONG,10.0335,104.6000,2027-07-16
183,ase_pt_413893ee62984e99,PUT,LONG,14.6335,104.6000,2027-07-16
184,ase_pt_e11d456d41a84455,CALL,LONG,4.5063,100.7400,2026-09-18
186,ase_pt_d76fb2bccf7b4907,CALL,LONG,6.0365,97.6900,2026-09-18
188,ase_pt_1cdfe82457184b5e,PUT,LONG,3.7265,97.6900,2026-09-18
190,ase_pt_25965cdfc2b84bb7,CALL,LONG,4.5063,100.7400,2026-09-18
193,ase_pt_468a12d81bfa4bbe,CALL,LONG,1.5664,105.0000,2026-08-21
194,ase_pt_79e593a33bc8450e,CALL,LONG,2.6826,105.5800,2026-09-18
196,ase_pt_79e593a33bc8450e,PUT,LONG,8.2626,105.5800,2026-09-18
198,ase_pt_56ec12c833d3410d,CALL,LONG,17.3751,89.3800,2027-07-16
200,ase_pt_82ada73b5e58432a,PUT,LONG,6.7551,89.3800,2027-07-16
202,ase_pt_e24cb20825964481,CALL,LONG,4.5063,100.7400,2026-09-18
204,ase_pt_0696a7501e5a4b86,CALL,LONG,4.5063,100.7400,2026-09-18
206,ase_pt_aa854a4440c0485e,PUT,LONG,5.2463,100.7400,2026-09-18
208,ase_pt_28ea289d06244a2c,CALL,LONG,4.5063,100.7400,2026-09-18
210,ase_pt_28ea289d06244a2c,PUT,LONG,5.2463,100.7400,2026-09-18
212,ase_pt_328f936a7b994ec1,CALL,LONG,7.2678,97.3700,2026-10-16
214,ase_pt_00a319c736ae4b1d,CALL,LONG,3.2547,100.3700,2026-08-21
215,ase_pt_00a319c736ae4b1d,PUT,LONG,3.6247,100.3700,2026-08-21
216,ase_pt_072a3bfdbe32476a,CALL,LONG,1.2286,106.3700,2026-08-21
217,ase_pt_072a3bfdbe32476a,PUT,LONG,7.5986,106.3700,2026-08-21
218,ase_pt_61163c0323cd45fc,CALL,LONG,3.2547,100.3700,2026-08-21
219,ase_pt_61163c0323cd45fc,PUT,LONG,3.6247,100.3700,2026-08-21
220,ase_pt_7a7c2d1c8e31410e,CALL,LONG,3.2547,100.3700,2026-08-21
221,ase_pt_7a7c2d1c8e31410e,PUT,LONG,3.6247,100.3700,2026-08-21
224,ase_pt_bce325b6dbd949b5,CALL,LONG,0.9215,107.9100,2026-08-21
225,ase_pt_bce325b6dbd949b5,PUT,LONG,8.8315,107.9100,2026-08-21
226,ase_pt_57079b3931a14d23,CALL,LONG,3.2547,100.3700,2026-08-21
227,ase_pt_57079b3931a14d23,PUT,LONG,3.6247,100.3700,2026-08-21
231,ase_pt_b2ca50de093b4563,CALL,LONG,4.5063,100.7400,2026-09-18
233,ase_pt_b2ca50de093b4563,PUT,LONG,5.2463,100.7400,2026-09-18
234,ase_pt_c7a2f3b519e24441,CALL,LONG,2.1747,107.3800,2026-09-18
236,ase_pt_c7a2f3b519e24441,PUT,LONG,9.5547,107.3800,2026-09-18
238,ase_pt_2fc2f3bd813c4201,CALL,LONG,3.7847,99.2900,2026-08-21
240,ase_pt_2fc2f3bd813c4201,CALL,LONG,2.7741,101.4600,2026-08-21
241,ase_pt_001f7af9440e43f5,PUT,LONG,3.0747,99.2900,2026-08-21
243,ase_pt_001f7af9440e43f5,PUT,LONG,4.2341,101.4600,2026-08-21
244,ase_pt_f7e0e8d95161439f,CALL,LONG,1.2286,106.3700,2026-08-21
247,ase_pt_f7e0e8d95161439f,PUT,LONG,7.5986,106.3700,2026-08-21
248,ase_pt_61db83e800514e09,CALL,LONG,3.7847,99.2900,2026-08-21
250,ase_pt_61db83e800514e09,CALL,LONG,1.9345,103.7500,2026-08-21
251,ase_pt_6117d75ace464771,PUT,LONG,3.0747,99.2900,2026-08-21
253,ase_pt_6117d75ace464771,PUT,LONG,5.6845,103.7500,2026-08-21
254,ase_pt_713448510d67452d,CALL,LONG,3.7847,99.2900,2026-08-21
256,ase_pt_713448510d67452d,CALL,LONG,2.3356,102.5800,2026-08-21
257,ase_pt_5bab2972c84849cd,CALL,LONG,3.7847,99.2900,2026-08-21
259,ase_pt_5bab2972c84849cd,CALL,LONG,1.5664,105.0000,2026-08-21
260,ase_pt_d6e7b562298d4374,CALL,LONG,5.0262,97.1000,2026-08-21
262,ase_pt_d6e7b562298d4374,CALL,LONG,1.9345,103.7500,2026-08-21
263,ase_pt_b592a8277a61404c,CALL,LONG,3.4592,99.9400,2026-08-21
265,ase_pt_b592a8277a61404c,CALL,LONG,3.0586,100.8000,2026-08-21
266,ase_pt_071adb86c61641aa,CALL,LONG,3.7847,99.2900,2026-08-21
268,ase_pt_071adb86c61641aa,CALL,LONG,2.7741,101.4600,2026-08-21
269,ase_pt_071adb86c61641aa,PUT,LONG,3.0747,99.2900,2026-08-21
271,ase_pt_071adb86c61641aa,PUT,LONG,4.2341,101.4600,2026-08-21
272,ase_pt_81d56157029f4bbc,CALL,LONG,4.5063,100.7400,2026-09-18
274,ase_pt_81d56157029f4bbc,CALL,LONG,5.4274,101.1200,2026-10-16
275,ase_pt_48205beec76749a1,CALL,LONG,3.7847,99.2900,2026-08-21
277,ase_pt_48205beec76749a1,CALL,LONG,2.3356,102.5800,2026-08-21
278,ase_pt_0dd0cca698e3471b,PUT,LONG,10.3732,109.7300,2026-08-21
281,ase_pt_0dd0cca698e3471b,CALL,LONG,0.6432,109.7300,2026-08-21
282,ase_pt_32be02a6f8b348be,PUT,LONG,8.8315,107.9100,2026-08-21
285,ase_pt_32be02a6f8b348be,CALL,LONG,0.9215,107.9100,2026-08-21
286,ase_pt_2af95b3f1e834dbb,PUT,LONG,13.5617,113.2600,2026-08-21
289,ase_pt_2af95b3f1e834dbb,CALL,LONG,0.3017,113.2600,2026-08-21
291,ase_pt_24d5f67c97a24cf4,PUT,LONG,6.5664,105.0000,2026-08-21
292,ase_pt_24d5f67c97a24cf4,CALL,LONG,1.5664,105.0000,2026-08-21
294,ase_pt_651c3abf1f1f4b08,PUT,LONG,12.4628,112.0700,2026-08-21
297,ase_pt_651c3abf1f1f4b08,CALL,LONG,0.9215,107.9100,2026-08-21
298,ase_pt_e8ac703556ed4ca8,PUT,LONG,12.4628,112.0700,2026-08-21
301,ase_pt_e8ac703556ed4ca8,CALL,LONG,0.9215,107.9100,2026-08-21
302,ase_pt_5b48b5fc0a3f40de,PUT,LONG,12.4628,112.0700,2026-08-21
305,ase_pt_5b48b5fc0a3f40de,CALL,LONG,0.3928,112.0700,2026-08-21
306,ase_pt_5b48b5fc0a3f40de,PUT,LONG,6.5664,105.0000,2026-08-21
309,ase_pt_5b48b5fc0a3f40de,CALL,LONG,1.5664,105.0000,2026-08-21
310,ase_pt_41fa6adf243d4784,PUT,LONG,8.8315,107.9100,2026-08-21
313,ase_pt_41fa6adf243d4784,CALL,LONG,0.3928,112.0700,2026-08-21
314,ase_pt_033247baa7c14f4a,PUT,LONG,10.3732,109.7300,2026-08-21
317,ase_pt_033247baa7c14f4a,CALL,LONG,0.6432,109.7300,2026-08-21
318,ase_pt_0c5895db0d4c4a51,PUT,LONG,12.4628,112.0700,2026-08-21
321,ase_pt_0c5895db0d4c4a51,CALL,LONG,0.3928,112.0700,2026-08-21
322,ase_pt_2a71b6dad9324f42,PUT,LONG,12.4628,112.0700,2026-08-21
325,ase_pt_2a71b6dad9324f42,CALL,LONG,0.3928,112.0700,2026-08-21
328,ase_pt_64cba35090f74aaf,PUT,LONG,10.3732,109.7300,2026-08-21
329,ase_pt_64cba35090f74aaf,CALL,LONG,0.6432,109.7300,2026-08-21
331,ase_pt_e79f6d8cdfbc417d,CALL,LONG,1.5664,105.0000,2026-08-21
333,ase_pt_662b1d2e3f3b4a8c,PUT,LONG,6.5664,105.0000,2026-08-21
334,ase_pt_e2c2f6a10bdb4b99,CALL,LONG,3.7847,99.2900,2026-08-21
336,ase_pt_e2c2f6a10bdb4b99,CALL,LONG,0.9215,107.9100,2026-08-21
337,ase_pt_7c43d64b976b406e,PUT,LONG,3.0747,99.2900,2026-08-21
339,ase_pt_7c43d64b976b406e,PUT,LONG,8.8315,107.9100,2026-08-21
341,ase_pt_f8dc673d2e074d35,PUT,LONG,10.3732,109.7300,2026-08-21
343,ase_pt_f8dc673d2e074d35,CALL,LONG,0.6432,109.7300,2026-08-21
344,ase_pt_a1c8e3c5b81941d4,CALL,LONG,0.9215,107.9100,2026-08-21
347,ase_pt_a1c8e3c5b81941d4,PUT,LONG,8.8315,107.9100,2026-08-21
349,ase_pt_fb84854ccb4f40ab,CALL,LONG,3.2547,100.3700,2026-08-21
350,ase_pt_fb84854ccb4f40ab,PUT,LONG,3.6247,100.3700,2026-08-21
352,ase_pt_fe02671f0c3b4c14,PUT,LONG,12.4628,112.0700,2026-08-21
354,ase_pt_76488e2737934974,PUT,LONG,10.3732,109.7300,2026-08-21
356,ase_pt_52a1199441b842c2,CALL,LONG,3.2547,100.3700,2026-08-21
359,ase_pt_52a1199441b842c2,PUT,LONG,10.3732,109.7300,2026-08-21
362,ase_pt_3d55b52d40e74304,CALL,LONG,0.6432,109.7300,2026-08-21
363,ase_pt_3d55b52d40e74304,PUT,LONG,10.3732,109.7300,2026-08-21
364,ase_pt_aaac37a07a91407d,CALL,LONG,3.2547,100.3700,2026-08-21
365,ase_pt_aaac37a07a91407d,PUT,LONG,3.6247,100.3700,2026-08-21
366,ase_pt_7da7c3b4e64846b4,CALL,LONG,4.5063,100.7400,2026-09-18
368,ase_pt_0f937b112584409c,CALL,LONG,3.2547,100.3700,2026-08-21
369,ase_pt_0f937b112584409c,PUT,LONG,3.6247,100.3700,2026-08-21
370,ase_pt_1170d8dc89b04e2d,CALL,LONG,1.2286,106.3700,2026-08-21
371,ase_pt_1170d8dc89b04e2d,PUT,LONG,7.5986,106.3700,2026-08-21
372,ase_pt_93a3a93c4f9f4e12,CALL,LONG,3.7847,99.2900,2026-08-21
374,ase_pt_93a3a93c4f9f4e12,CALL,LONG,2.3356,102.5800,2026-08-21
375,ase_pt_e42209c2003d4359,PUT,LONG,12.4628,112.0700,2026-08-21
378,ase_pt_e42209c2003d4359,CALL,LONG,0.3928,112.0700,2026-08-21
379,ase_pt_57dc0fe985a24f4f,CALL,LONG,4.5063,100.7400,2026-09-18
381,ase_pt_e0a6c5ea0c7841ed,PUT,LONG,10.3732,109.7300,2026-08-21
384,ase_pt_e0a6c5ea0c7841ed,CALL,LONG,0.6432,109.7300,2026-08-21
385,ase_pt_d2435f0b6b9843e7,CALL,LONG,3.2547,100.3700,2026-08-21
387,ase_pt_02fefa8de1fa4313,CALL,LONG,3.7847,99.2900,2026-08-21
389,ase_pt_02fefa8de1fa4313,CALL,LONG,2.7741,101.4600,2026-08-21
390,ase_pt_9aa23c0340c74068,CALL,LONG,0.9215,107.9100,2026-08-21
393,ase_pt_9aa23c0340c74068,PUT,LONG,8.8315,107.9100,2026-08-21
394,ase_pt_6eeb91756b384821,PUT,LONG,12.4628,112.0700,2026-08-21
397,ase_pt_6eeb91756b384821,CALL,LONG,0.3928,112.0700,2026-08-21
398,ase_pt_f756f793419d420f,CALL,LONG,0.9215,107.9100,2026-08-21
399,ase_pt_f756f793419d420f,PUT,LONG,8.8315,107.9100,2026-08-21
400,ase_pt_931dd6df28c1477d,PUT,LONG,6.5664,105.0000,2026-08-21
402,ase_pt_4d0273c3681a4f01,CALL,LONG,1.0929,105.0000,2026-08-07
403,ase_pt_e2ba930eaa534393,CALL,LONG,4.4890,98.0000,2026-08-21
405,ase_pt_40462d8d32c14ee9,PUT,LONG,0.5665,91.0000,2026-08-21
408,ase_pt_40462d8d32c14ee9,CALL,LONG,0.7449,109.0000,2026-08-21
409,ase_pt_bbd9a12dae4b4160,CALL,LONG,5.0882,97.0000,2026-08-21
411,ase_pt_bbd9a12dae4b4160,CALL,LONG,2.1851,103.0000,2026-08-21
413,ase_pt_bbd9a12dae4b4160,PUT,LONG,3.4301,100.0000,2026-08-21
414,ase_pt_274b14eb2f984158,CALL,LONG,5.7329,96.0000,2026-08-21
416,ase_pt_274b14eb2f984158,CALL,LONG,1.8561,104.0000,2026-08-21
417,ase_pt_274b14eb2f984158,PUT,LONG,5.8561,104.0000,2026-08-21
419,ase_pt_274b14eb2f984158,PUT,LONG,1.7329,96.0000,2026-08-21
420,ase_pt_e4fbd56c2fba44d5,PUT,LONG,0.1781,87.0000,2026-08-21
423,ase_pt_e4fbd56c2fba44d5,CALL,LONG,0.3198,113.0000,2026-08-21
424,ase_pt_e4fbd56c2fba44d5,PUT,LONG,0.9219,93.0000,2026-08-21
427,ase_pt_e4fbd56c2fba44d5,CALL,LONG,1.0942,107.0000,2026-08-21
428,ase_pt_b4fa0790417d42e0,CALL,LONG,2.3356,102.5800,2026-08-21
429,ase_pt_9089a990edab441c,PUT,LONG,4.9156,102.5800,2026-08-21
430,ase_pt_a9753a5b1a1b4f5e,CALL,LONG,17.3751,89.3800,2027-07-16
431,ase_pt_6b35e0a20e884b30,PUT,LONG,6.7551,89.3800,2027-07-16
432,ase_pt_e5ccc8f977734766,CALL,LONG,7.6404,93.3600,2026-08-21
433,ase_pt_f8bf64f3692e4ea8,PUT,LONG,1.0004,93.3600,2026-08-21
434,ase_pt_3b1a8014c6fc4dd2,CALL,LONG,17.3751,89.3800,2027-07-16
436,ase_pt_3847e37dbe01457c,PUT,LONG,6.7551,89.3800,2027-07-16
438,ase_pt_bc60609866cf4c0f,CALL,LONG,3.2547,100.3700,2026-08-21
440,ase_pt_161362eb9c554659,CALL,LONG,5.0262,97.1000,2026-08-21
442,ase_pt_cbd5bf81793446d7,CALL,LONG,1.9345,103.7500,2026-08-21
445,ase_pt_e8d8f110ca2e46ea,CALL,LONG,0.9215,107.9100,2026-08-21
447,ase_pt_5e49d8edae1c4bb5,CALL,LONG,0.6432,109.7300,2026-08-21
448,ase_pt_b0a34de8bfd04d85,CALL,LONG,3.2547,100.3700,2026-08-21
450,ase_pt_d364f8772e634ea2,CALL,LONG,3.2547,100.3700,2026-08-21
452,ase_pt_9d1f3d6be1de42e7,CALL,LONG,13.3288,96.9500,2027-07-16
455,ase_pt_77c6e57b3a1446b9,CALL,LONG,0.6432,109.7300,2026-08-21
456,ase_pt_c83827516c75413d,CALL,LONG,3.2547,100.3700,2026-08-21
458,ase_pt_f5348162a2d24340,PUT,LONG,3.6247,100.3700,2026-08-21
460,ase_pt_e8185dd214344b3d,PUT,LONG,2.1262,97.1000,2026-08-21
462,ase_pt_1d7c0f90a07c44e7,PUT,LONG,5.6845,103.7500,2026-08-21
465,ase_pt_e80dd2b5c261433a,PUT,LONG,8.8315,107.9100,2026-08-21
467,ase_pt_dd6f5dcf3c9049ec,PUT,LONG,10.3732,109.7300,2026-08-21
468,ase_pt_ca738e7c12374252,PUT,LONG,3.6247,100.3700,2026-08-21
470,ase_pt_422c7e1be7ac41bc,PUT,LONG,3.6247,100.3700,2026-08-21
472,ase_pt_8779236ee5114ad7,PUT,LONG,10.2788,96.9500,2027-07-16
475,ase_pt_b544d413f1fa4fbe,PUT,LONG,10.3732,109.7300,2026-08-21
476,ase_pt_97126c75c93c44f0,PUT,LONG,3.6247,100.3700,2026-08-21
478,ase_pt_e182672b33fc4791,CALL,LONG,3.2547,100.3700,2026-08-21
481,ase_pt_e182672b33fc4791,PUT,LONG,8.8315,107.9100,2026-08-21
482,ase_pt_977ced069bc5425b,PUT,LONG,3.6247,100.3700,2026-08-21
485,ase_pt_977ced069bc5425b,CALL,LONG,0.9215,107.9100,2026-08-21
487,ase_pt_9e5cf737f8e74fa3,CALL,LONG,4.5063,100.7400,2026-09-18
489,ase_pt_2fb28aa0a20f49b3,PUT,LONG,5.2463,100.7400,2026-09-18
491,ase_pt_18be7899a17a4176,CALL,LONG,6.9385,96.1300,2026-09-18
493,ase_pt_b3dcd42cff494334,CALL,LONG,2.1747,107.3800,2026-09-18
495,ase_pt_4fd217eb3a5a4a32,CALL,LONG,2.1747,107.3800,2026-09-18
497,ase_pt_4fd217eb3a5a4a32,PUT,LONG,9.5547,107.3800,2026-09-18
499,ase_pt_56e7f9a96a7e4464,CALL,LONG,4.5063,100.7400,2026-09-18
501,ase_pt_f67e84675c5249a6,CALL,LONG,10.0335,104.6000,2027-07-16
503,ase_pt_b6be8e95c33a4553,PUT,LONG,14.6335,104.6000,2027-07-16
504,ase_pt_68e54ed88e4d421b,CALL,LONG,4.5063,100.7400,2026-09-18
506,ase_pt_e1ec5f6baa4d403d,CALL,LONG,6.0365,97.6900,2026-09-18
508,ase_pt_21edb5107520446d,PUT,LONG,3.7265,97.6900,2026-09-18
510,ase_pt_e4b1d239379943ff,CALL,LONG,4.5063,100.7400,2026-09-18
513,ase_pt_fada956def4e448a,CALL,LONG,1.5664,105.0000,2026-08-21
514,ase_pt_db747bae239b4a97,CALL,LONG,2.6826,105.5800,2026-09-18
516,ase_pt_db747bae239b4a97,PUT,LONG,8.2626,105.5800,2026-09-18
518,ase_pt_25ab7424444f4a89,CALL,LONG,17.3751,89.3800,2027-07-16
520,ase_pt_8e442eea96e1491f,PUT,LONG,6.7551,89.3800,2027-07-16
522,ase_pt_e97315119a354c76,CALL,LONG,4.5063,100.7400,2026-09-18
524,ase_pt_c36ecfd5501c47a4,CALL,LONG,4.5063,100.7400,2026-09-18
526,ase_pt_130a27a8cb9745ba,PUT,LONG,5.2463,100.7400,2026-09-18
528,ase_pt_e44634809c5544e3,CALL,LONG,4.5063,100.7400,2026-09-18
530,ase_pt_e44634809c5544e3,PUT,LONG,5.2463,100.7400,2026-09-18
532,ase_pt_b960fd2b68d648d3,CALL,LONG,7.2678,97.3700,2026-10-16
534,ase_pt_ea5c2ec694ed460f,CALL,LONG,3.2547,100.3700,2026-08-21
535,ase_pt_ea5c2ec694ed460f,PUT,LONG,3.6247,100.3700,2026-08-21
536,ase_pt_ff5e137172e74047,CALL,LONG,1.2286,106.3700,2026-08-21
537,ase_pt_ff5e137172e74047,PUT,LONG,7.5986,106.3700,2026-08-21
538,ase_pt_ac4b9034cd964425,CALL,LONG,3.2547,100.3700,2026-08-21
539,ase_pt_ac4b9034cd964425,PUT,LONG,3.6247,100.3700,2026-08-21
540,ase_pt_b8bb8ab33f7c4861,CALL,LONG,3.2547,100.3700,2026-08-21
541,ase_pt_b8bb8ab33f7c4861,PUT,LONG,3.6247,100.3700,2026-08-21
544,ase_pt_fd8f510a65cb426a,CALL,LONG,0.9215,107.9100,2026-08-21
545,ase_pt_fd8f510a65cb426a,PUT,LONG,8.8315,107.9100,2026-08-21
546,ase_pt_8fdcc3627c754690,CALL,LONG,3.2547,100.3700,2026-08-21
547,ase_pt_8fdcc3627c754690,PUT,LONG,3.6247,100.3700,2026-08-21
551,ase_pt_390ae52392654d73,CALL,LONG,4.5063,100.7400,2026-09-18
553,ase_pt_390ae52392654d73,PUT,LONG,5.2463,100.7400,2026-09-18
554,ase_pt_2890588a8d2f4473,CALL,LONG,2.1747,107.3800,2026-09-18
556,ase_pt_2890588a8d2f4473,PUT,LONG,9.5547,107.3800,2026-09-18
558,ase_pt_873a7401af7c499b,CALL,LONG,3.7847,99.2900,2026-08-21
560,ase_pt_873a7401af7c499b,CALL,LONG,2.7741,101.4600,2026-08-21
