id,paper_trade_id,buy_or_sell,asset_type,delta
120,ase_pt_90aebf88d50e4c5e,LONG,CALL,0.6500
1454,ase_pt_27fb95998a56415b,LONG,CALL,0.6500
1453,ase_pt_27fb95998a56415b,SHORT,CALL,0.6500
1403,ase_pt_5838a244a64d48a7,LONG,CALL,0.6500
1220,ase_pt_c6e58215b6bc4846,LONG,CALL,0.6500
1131,ase_pt_c22a27dc84f148ae,LONG,CALL,0.6500
1130,ase_pt_c22a27dc84f148ae,SHORT,CALL,0.6500
1080,ase_pt_341ee9bd107947a6,LONG,CALL,0.6500
2018,ase_pt_80b5cd91d5bc4242,LONG,CALL,0.6500
170,ase_pt_30c9f7f099f04656,SHORT,CALL,0.6500
171,ase_pt_30c9f7f099f04656,LONG,CALL,0.6500
900,ase_pt_4e005621b9684abd,LONG,CALL,0.6500
811,ase_pt_24c4ba6f47cb4240,LONG,CALL,0.6500
810,ase_pt_24c4ba6f47cb4240,SHORT,CALL,0.6500
760,ase_pt_07bdcfff5f604dac,LONG,CALL,0.6500
1929,ase_pt_0341f5cb79124671,LONG,CALL,0.6500
734,ase_pt_23c047592c864aa6,LONG,CALL,0.6300
1054,ase_pt_b217288663e64abf,LONG,CALL,0.6300
2172,ase_pt_9bb6a291e8394a63,LONG,CALL,0.6300
1852,ase_pt_9193accc15f84997,LONG,CALL,0.6300
1374,ase_pt_eb98d0776e8e4c2b,LONG,CALL,0.6300
414,ase_pt_274b14eb2f984158,LONG,CALL,0.6300
36,ase_pt_9348885232d04d4e,LONG,CALL,0.6200
31,ase_pt_3bda863231e14809,LONG,CALL,0.6200
86,ase_pt_128484047a824332,LONG,CALL,0.6200
29,ase_pt_6083b99595c94b37,LONG,CALL,0.6200
61,ase_pt_06792981111b4143,LONG,CALL,0.6200
27,ase_pt_426097d373aa4fbd,LONG,CALL,0.6200
409,ase_pt_bbd9a12dae4b4160,LONG,CALL,0.6000
93,ase_pt_14f3d29356e1406e,LONG,CALL,0.6000
1650,ase_pt_25c87bb09bcb4d9e,LONG,CALL,0.6000
1624,ase_pt_8c79bccb949e4c7e,LONG,CALL,0.6000
772,ase_pt_2be32f47df1f4199,LONG,CALL,0.6000
1570,ase_pt_f4ab0354b1194755,LONG,CALL,0.6000
1495,ase_pt_0e252cbba9094a72,LONG,CALL,0.6000
1469,ase_pt_7c98961ed462420e,LONG,CALL,0.6000
1970,ase_pt_3cb297ccec4d4a6f,LONG,CALL,0.6000
212,ase_pt_328f936a7b994ec1,LONG,CALL,0.6000
1415,ase_pt_2e6843beba754b18,LONG,CALL,0.6000
452,ase_pt_9d1f3d6be1de42e7,LONG,CALL,0.6000
43,ase_pt_50cee139dd5f4d1b,LONG,CALL,0.6000
1890,ase_pt_90ec6ab58d4a433f,LONG,CALL,0.6000
132,ase_pt_0ee34056a5ba483e,LONG,CALL,0.6000
1369,ase_pt_43b493247bb548cc,LONG,CALL,0.6000
506,ase_pt_e1ec5f6baa4d403d,LONG,CALL,0.6000
729,ase_pt_e99a1c0bac7a44b8,LONG,CALL,0.6000
1172,ase_pt_de9a1dd6531e46d8,LONG,CALL,0.6000
1146,ase_pt_e9c5adc89a694700,LONG,CALL,0.6000
1092,ase_pt_a1fcb5049d0f413b,LONG,CALL,0.6000
532,ase_pt_b960fd2b68d648d3,LONG,CALL,0.6000
1049,ase_pt_0c9b4327f85a4179,LONG,CALL,0.6000
852,ase_pt_155673414d9c4237,LONG,CALL,0.6000
2167,ase_pt_0dd30d7452624163,LONG,CALL,0.6000
826,ase_pt_94869ecb05004e5d,LONG,CALL,0.6000
1944,ase_pt_fadfe86140af455a,LONG,CALL,0.6000
186,ase_pt_d76fb2bccf7b4907,LONG,CALL,0.6000
68,ase_pt_16386550e4ec40a8,LONG,CALL,0.6000
1847,ase_pt_5512d71f7e0c419d,LONG,CALL,0.6000
33,ase_pt_ecffd21d1e71478d,LONG,CALL,0.5800
2161,ase_pt_4a4131e4b37349c8,LONG,CALL,0.5800
723,ase_pt_d9ff3f43e29b426f,LONG,CALL,0.5800
1363,ase_pt_e2544b55d07e46a3,LONG,CALL,0.5800
403,ase_pt_e2ba930eaa534393,LONG,CALL,0.5800
83,ase_pt_425af45e774a4d75,LONG,CALL,0.5800
1841,ase_pt_f850c3bdc79c409b,LONG,CALL,0.5800
58,ase_pt_c07afef2857d49ed,LONG,CALL,0.5800
1043,ase_pt_08179cf977334df3,LONG,CALL,0.5800
1226,ase_pt_d98382cd2b4f4c2d,LONG,CALL,0.5500
1217,ase_pt_02d0d9913754443c,LONG,CALL,0.5500
1214,ase_pt_335da21099bf469e,LONG,CALL,0.5500
1208,ase_pt_ae12830c35754db8,LONG,CALL,0.5500
1198,ase_pt_2f51cdd5a4bc4ffd,LONG,CALL,0.5500
1825,ase_pt_7c3c312e45784293,LONG,CALL,0.5500
2130,ase_pt_3fc17c17f0ee41d0,LONG,CALL,0.5500
2145,ase_pt_ad101c6b69114db6,LONG,CALL,0.5500
577,ase_pt_aa91c2601a534cca,LONG,CALL,0.5500
1810,ase_pt_11a533f7ddb84c21,LONG,CALL,0.5500
707,ase_pt_9ae3a43abb114bb3,LONG,CALL,0.5500
60,ase_pt_35fc776144e54a4b,LONG,CALL,0.5500
35,ase_pt_99857ff17e444244,LONG,CALL,0.5500
558,ase_pt_873a7401af7c499b,LONG,CALL,0.5500
266,ase_pt_071adb86c61641aa,LONG,CALL,0.5500
1676,ase_pt_23883886b1684ced,LONG,CALL,0.5500
1772,ase_pt_9e412b9c46f64e91,LONG,CALL,0.5500
1027,ase_pt_16cf6d806ea34cdc,LONG,CALL,0.5500
1012,ase_pt_f352a5bb0a3845c7,LONG,CALL,0.5500
974,ase_pt_2b1cb0acde8a4d2a,LONG,CALL,0.5500
915,ase_pt_c45fec7c13434445,LONG,CALL,0.5500
692,ase_pt_96c335fbcd3f4c4f,LONG,CALL,0.5500
906,ase_pt_e7742d0825944040,LONG,CALL,0.5500
654,ase_pt_cab5b30e65814c46,LONG,CALL,0.5500
2024,ase_pt_7306e190b47841d5,LONG,CALL,0.5500
257,ase_pt_5bab2972c84849cd,LONG,CALL,0.5500
275,ase_pt_48205beec76749a1,LONG,CALL,0.5500
1686,ase_pt_48c41c48d3a14ba2,LONG,CALL,0.5500
1692,ase_pt_0b933a575f704d7e,LONG,CALL,0.5500
1347,ase_pt_687d43cfbe23447f,LONG,CALL,0.5500
1332,ase_pt_5ad3da4131714e30,LONG,CALL,0.5500
1294,ase_pt_5df56406e676421f,LONG,CALL,0.5500
1235,ase_pt_bf3cd83403654aef,LONG,CALL,0.5500
1996,ase_pt_63310aeadd5649cd,LONG,CALL,0.5500
1695,ase_pt_ddaaad97b7254e99,LONG,CALL,0.5500
2033,ase_pt_3632906f3796405f,LONG,CALL,0.5500
586,ase_pt_0dc88f03b7564659,LONG,CALL,0.5500
254,ase_pt_713448510d67452d,LONG,CALL,0.5500
574,ase_pt_aeb5d4d092ea48cc,LONG,CALL,0.5500
248,ase_pt_61db83e800514e09,LONG,CALL,0.5500
2092,ase_pt_ba89af7af8ba4e0a,LONG,CALL,0.5500
85,ase_pt_f81f75f7f93c45bd,LONG,CALL,0.5500
595,ase_pt_3f0dc8b2a4fd4917,LONG,CALL,0.5500
897,ase_pt_63167d95b92d46a9,LONG,CALL,0.5500
894,ase_pt_c7352c9de31649d5,LONG,CALL,0.5500
888,ase_pt_bb138449b1884e36,LONG,CALL,0.5500
878,ase_pt_83d56a0a0f0f40a3,LONG,CALL,0.5500
1713,ase_pt_69d1459f2919466e,LONG,CALL,0.5500
2015,ase_pt_2d62d52019a541bb,LONG,CALL,0.5500
2012,ase_pt_9179e74a98ee4988,LONG,CALL,0.5500
2006,ase_pt_138b12dca04a4839,LONG,CALL,0.5500
1704,ase_pt_19fd1a1afed14598,LONG,CALL,0.5500
334,ase_pt_e2c2f6a10bdb4b99,LONG,CALL,0.5500
238,ase_pt_2fc2f3bd813c4201,LONG,CALL,0.5500
568,ase_pt_56d2d5d48d5b4236,LONG,CALL,0.5500
1540,ase_pt_3e1833f415fd414f,LONG,CALL,0.5500
372,ase_pt_93a3a93c4f9f4e12,LONG,CALL,0.5500
1537,ase_pt_78d7474730e741f4,LONG,CALL,0.5500
387,ase_pt_02fefa8de1fa4313,LONG,CALL,0.5500
1531,ase_pt_873fee4ef10f4d1e,LONG,CALL,0.5500
1521,ase_pt_713d53f998734c95,LONG,CALL,0.5500
903,ase_pt_03849d666efe4824,LONG,CALL,0.5200
2021,ase_pt_61d345b280ce4300,LONG,CALL,0.5200
1223,ase_pt_e56739d70d014172,LONG,CALL,0.5200
91,ase_pt_0b70f91107a2450c,LONG,CALL,0.5200
1701,ase_pt_758e90c2983f47df,LONG,CALL,0.5200
263,ase_pt_b592a8277a61404c,LONG,CALL,0.5200
66,ase_pt_117a109ec5dd4070,LONG,CALL,0.5200
41,ase_pt_556516fdaa6346da,LONG,CALL,0.5200
583,ase_pt_df79891422ec4bf6,LONG,CALL,0.5200
565,ase_pt_d416f4b7532c415c,SHORT,CALL,0.5000
40,ase_pt_556516fdaa6346da,SHORT,CALL,0.5000
45,ase_pt_dc09b5d14ef44603,SHORT,CALL,0.5000
51,ase_pt_f417c1e1b7594d6f,LONG,CALL,0.5000
53,ase_pt_fe5c39faa9ff45bb,SHORT,CALL,0.5000
65,ase_pt_117a109ec5dd4070,SHORT,CALL,0.5000
70,ase_pt_bf1cf12068b3467c,SHORT,CALL,0.5000
76,ase_pt_c9285bac7ab4456a,LONG,CALL,0.5000
78,ase_pt_f03d8213adaf4693,SHORT,CALL,0.5000
90,ase_pt_0b70f91107a2450c,SHORT,CALL,0.5000
95,ase_pt_bacc84d4772d447c,SHORT,CALL,0.5000
101,ase_pt_413ea62f4d2f4494,LONG,CALL,0.5000
103,ase_pt_441256588f4a4d41,SHORT,CALL,0.5000
118,ase_pt_ab7790faa1c546cf,LONG,CALL,0.5000
121,ase_pt_90aebf88d50e4c5e,SHORT,CALL,0.5000
128,ase_pt_8fc139721c9c4d94,LONG,CALL,0.5000
130,ase_pt_3c7ddbca75b940eb,LONG,CALL,0.5000
136,ase_pt_549092c247454f84,LONG,CALL,0.5000
158,ase_pt_b31a4d1261f343e9,LONG,CALL,0.5000
166,ase_pt_99cb0be7029b4a82,SHORT,CALL,0.5000
167,ase_pt_99cb0be7029b4a82,LONG,CALL,0.5000
178,ase_pt_348d05419ab448e7,SHORT,CALL,0.5000
179,ase_pt_348d05419ab448e7,LONG,CALL,0.5000
180,ase_pt_583071390312407f,SHORT,CALL,0.5000
181,ase_pt_583071390312407f,LONG,CALL,0.5000
184,ase_pt_e11d456d41a84455,LONG,CALL,0.5000
190,ase_pt_25965cdfc2b84bb7,LONG,CALL,0.5000
192,ase_pt_468a12d81bfa4bbe,SHORT,CALL,0.5000
202,ase_pt_e24cb20825964481,LONG,CALL,0.5000
204,ase_pt_0696a7501e5a4b86,LONG,CALL,0.5000
208,ase_pt_28ea289d06244a2c,LONG,CALL,0.5000
209,ase_pt_28ea289d06244a2c,SHORT,CALL,0.5000
214,ase_pt_00a319c736ae4b1d,LONG,CALL,0.5000
218,ase_pt_61163c0323cd45fc,LONG,CALL,0.5000
220,ase_pt_7a7c2d1c8e31410e,LONG,CALL,0.5000
222,ase_pt_bce325b6dbd949b5,SHORT,CALL,0.5000
226,ase_pt_57079b3931a14d23,LONG,CALL,0.5000
230,ase_pt_b2ca50de093b4563,SHORT,CALL,0.5000
231,ase_pt_b2ca50de093b4563,LONG,CALL,0.5000
239,ase_pt_2fc2f3bd813c4201,SHORT,CALL,0.5000
245,ase_pt_f7e0e8d95161439f,SHORT,CALL,0.5000
249,ase_pt_61db83e800514e09,SHORT,CALL,0.5000
255,ase_pt_713448510d67452d,SHORT,CALL,0.5000
261,ase_pt_d6e7b562298d4374,SHORT,CALL,0.5000
264,ase_pt_b592a8277a61404c,SHORT,CALL,0.5000
267,ase_pt_071adb86c61641aa,SHORT,CALL,0.5000
272,ase_pt_81d56157029f4bbc,LONG,CALL,0.5000
273,ase_pt_81d56157029f4bbc,SHORT,CALL,0.5000
274,ase_pt_81d56157029f4bbc,LONG,CALL,0.5000
276,ase_pt_48205beec76749a1,SHORT,CALL,0.5000
327,ase_pt_64cba35090f74aaf,SHORT,CALL,0.5000
330,ase_pt_e79f6d8cdfbc417d,SHORT,CALL,0.5000
345,ase_pt_a1c8e3c5b81941d4,SHORT,CALL,0.5000
349,ase_pt_fb84854ccb4f40ab,LONG,CALL,0.5000
356,ase_pt_52a1199441b842c2,LONG,CALL,0.5000
364,ase_pt_aaac37a07a91407d,LONG,CALL,0.5000
366,ase_pt_7da7c3b4e64846b4,LONG,CALL,0.5000
367,ase_pt_7da7c3b4e64846b4,SHORT,CALL,0.5000
368,ase_pt_0f937b112584409c,LONG,CALL,0.5000
373,ase_pt_93a3a93c4f9f4e12,SHORT,CALL,0.5000
379,ase_pt_57dc0fe985a24f4f,LONG,CALL,0.5000
380,ase_pt_57dc0fe985a24f4f,SHORT,CALL,0.5000
385,ase_pt_d2435f0b6b9843e7,LONG,CALL,0.5000
388,ase_pt_02fefa8de1fa4313,SHORT,CALL,0.5000
391,ase_pt_9aa23c0340c74068,SHORT,CALL,0.5000
415,ase_pt_274b14eb2f984158,SHORT,CALL,0.5000
438,ase_pt_bc60609866cf4c0f,LONG,CALL,0.5000
441,ase_pt_161362eb9c554659,SHORT,CALL,0.5000
448,ase_pt_b0a34de8bfd04d85,LONG,CALL,0.5000
450,ase_pt_d364f8772e634ea2,LONG,CALL,0.5000
456,ase_pt_c83827516c75413d,LONG,CALL,0.5000
478,ase_pt_e182672b33fc4791,LONG,CALL,0.5000
486,ase_pt_9e5cf737f8e74fa3,SHORT,CALL,0.5000
487,ase_pt_9e5cf737f8e74fa3,LONG,CALL,0.5000
498,ase_pt_56e7f9a96a7e4464,SHORT,CALL,0.5000
499,ase_pt_56e7f9a96a7e4464,LONG,CALL,0.5000
500,ase_pt_f67e84675c5249a6,SHORT,CALL,0.5000
501,ase_pt_f67e84675c5249a6,LONG,CALL,0.5000
504,ase_pt_68e54ed88e4d421b,LONG,CALL,0.5000
510,ase_pt_e4b1d239379943ff,LONG,CALL,0.5000
512,ase_pt_fada956def4e448a,SHORT,CALL,0.5000
522,ase_pt_e97315119a354c76,LONG,CALL,0.5000
524,ase_pt_c36ecfd5501c47a4,LONG,CALL,0.5000
528,ase_pt_e44634809c5544e3,LONG,CALL,0.5000
529,ase_pt_e44634809c5544e3,SHORT,CALL,0.5000
534,ase_pt_ea5c2ec694ed460f,LONG,CALL,0.5000
538,ase_pt_ac4b9034cd964425,LONG,CALL,0.5000
540,ase_pt_b8bb8ab33f7c4861,LONG,CALL,0.5000
542,ase_pt_fd8f510a65cb426a,SHORT,CALL,0.5000
546,ase_pt_8fdcc3627c754690,LONG,CALL,0.5000
550,ase_pt_390ae52392654d73,SHORT,CALL,0.5000
551,ase_pt_390ae52392654d73,LONG,CALL,0.5000
559,ase_pt_873a7401af7c499b,SHORT,CALL,0.5000
569,ase_pt_56d2d5d48d5b4236,SHORT,CALL,0.5000
575,ase_pt_aeb5d4d092ea48cc,SHORT,CALL,0.5000
581,ase_pt_795a4febeaa54a0d,SHORT,CALL,0.5000
584,ase_pt_df79891422ec4bf6,SHORT,CALL,0.5000
587,ase_pt_0dc88f03b7564659,SHORT,CALL,0.5000
592,ase_pt_946b75d084744dd5,LONG,CALL,0.5000
593,ase_pt_946b75d084744dd5,SHORT,CALL,0.5000
594,ase_pt_946b75d084744dd5,LONG,CALL,0.5000
596,ase_pt_3f0dc8b2a4fd4917,SHORT,CALL,0.5000
647,ase_pt_df0a266b5a764677,SHORT,CALL,0.5000
650,ase_pt_b6c5e61a736a4625,SHORT,CALL,0.5000
665,ase_pt_f22e95e154d94408,SHORT,CALL,0.5000
669,ase_pt_6238c50e54c64833,LONG,CALL,0.5000
676,ase_pt_3c868bba84d748be,LONG,CALL,0.5000
684,ase_pt_51e1bd8493af4532,LONG,CALL,0.5000
686,ase_pt_bbfe78136a6145df,LONG,CALL,0.5000
687,ase_pt_bbfe78136a6145df,SHORT,CALL,0.5000
688,ase_pt_ec5bbbcd384d43e0,LONG,CALL,0.5000
693,ase_pt_96c335fbcd3f4c4f,SHORT,CALL,0.5000
699,ase_pt_004a747141f34b53,LONG,CALL,0.5000
700,ase_pt_004a747141f34b53,SHORT,CALL,0.5000
705,ase_pt_52db46c029b748f6,LONG,CALL,0.5000
708,ase_pt_9ae3a43abb114bb3,SHORT,CALL,0.5000
711,ase_pt_3c3d96cd00fa4b9f,SHORT,CALL,0.5000
735,ase_pt_23c047592c864aa6,SHORT,CALL,0.5000
758,ase_pt_ff4857b9ca1e4f31,LONG,CALL,0.5000
761,ase_pt_07bdcfff5f604dac,SHORT,CALL,0.5000
768,ase_pt_89e9a7a206094b5d,LONG,CALL,0.5000
770,ase_pt_9221343a8ff442c1,LONG,CALL,0.5000
776,ase_pt_8b344752f60546a1,LONG,CALL,0.5000
798,ase_pt_5dc715014dd84a43,LONG,CALL,0.5000
806,ase_pt_7f4cbe9e07c348b3,SHORT,CALL,0.5000
807,ase_pt_7f4cbe9e07c348b3,LONG,CALL,0.5000
818,ase_pt_53fd94a5236f4933,SHORT,CALL,0.5000
819,ase_pt_53fd94a5236f4933,LONG,CALL,0.5000
820,ase_pt_04f4c3ecbe4a4039,SHORT,CALL,0.5000
821,ase_pt_04f4c3ecbe4a4039,LONG,CALL,0.5000
824,ase_pt_a36cd5a474524c44,LONG,CALL,0.5000
830,ase_pt_3fea564c077e49df,LONG,CALL,0.5000
832,ase_pt_751823b026db4dd0,SHORT,CALL,0.5000
842,ase_pt_0fd2fff6f13649d5,LONG,CALL,0.5000
844,ase_pt_0ec22af1f8694c35,LONG,CALL,0.5000
848,ase_pt_f524316759cb4ded,LONG,CALL,0.5000
849,ase_pt_f524316759cb4ded,SHORT,CALL,0.5000
854,ase_pt_492673dfeb9d4bb4,LONG,CALL,0.5000
858,ase_pt_bb16728c9ab74c57,LONG,CALL,0.5000
860,ase_pt_dda2c92bd3bf4532,LONG,CALL,0.5000
862,ase_pt_6380627d787b417b,SHORT,CALL,0.5000
866,ase_pt_989392eefb9541f2,LONG,CALL,0.5000
870,ase_pt_c15348efbf064e5a,SHORT,CALL,0.5000
871,ase_pt_c15348efbf064e5a,LONG,CALL,0.5000
879,ase_pt_83d56a0a0f0f40a3,SHORT,CALL,0.5000
885,ase_pt_5531bb51b3f046e0,SHORT,CALL,0.5000
889,ase_pt_bb138449b1884e36,SHORT,CALL,0.5000
895,ase_pt_c7352c9de31649d5,SHORT,CALL,0.5000
901,ase_pt_4e005621b9684abd,SHORT,CALL,0.5000
904,ase_pt_03849d666efe4824,SHORT,CALL,0.5000
907,ase_pt_e7742d0825944040,SHORT,CALL,0.5000
912,ase_pt_8dbc75e418544b88,LONG,CALL,0.5000
913,ase_pt_8dbc75e418544b88,SHORT,CALL,0.5000
914,ase_pt_8dbc75e418544b88,LONG,CALL,0.5000
916,ase_pt_c45fec7c13434445,SHORT,CALL,0.5000
967,ase_pt_630c5bfba91c45a1,SHORT,CALL,0.5000
970,ase_pt_bb4541f2bdfc46ca,SHORT,CALL,0.5000
985,ase_pt_963783dd4e834ad5,SHORT,CALL,0.5000
989,ase_pt_3f620ebb349a4df9,LONG,CALL,0.5000
996,ase_pt_dea8aa2dc202496f,LONG,CALL,0.5000
1004,ase_pt_a2df9c7deeea4407,LONG,CALL,0.5000
1006,ase_pt_c8bf85c6ede2488b,LONG,CALL,0.5000
1007,ase_pt_c8bf85c6ede2488b,SHORT,CALL,0.5000
1008,ase_pt_5e1802c0f78045cb,LONG,CALL,0.5000
1013,ase_pt_f352a5bb0a3845c7,SHORT,CALL,0.5000
1019,ase_pt_d8d2ea56d692462f,LONG,CALL,0.5000
1020,ase_pt_d8d2ea56d692462f,SHORT,CALL,0.5000
1025,ase_pt_ea93f5edcbd049a6,LONG,CALL,0.5000
1028,ase_pt_16cf6d806ea34cdc,SHORT,CALL,0.5000
1031,ase_pt_d3b5f2da35984057,SHORT,CALL,0.5000
1055,ase_pt_b217288663e64abf,SHORT,CALL,0.5000
1078,ase_pt_cf555e7bab05428c,LONG,CALL,0.5000
1081,ase_pt_341ee9bd107947a6,SHORT,CALL,0.5000
1088,ase_pt_c6a51fd7f76347fe,LONG,CALL,0.5000
1090,ase_pt_f5dd6dc35bb846d9,LONG,CALL,0.5000
1096,ase_pt_364e2c86c1d6469d,LONG,CALL,0.5000
1118,ase_pt_dcf739fea6c346c2,LONG,CALL,0.5000
1126,ase_pt_ffc319cbdcb547bd,SHORT,CALL,0.5000
1127,ase_pt_ffc319cbdcb547bd,LONG,CALL,0.5000
1138,ase_pt_3e339a7a3cdc4e44,SHORT,CALL,0.5000
1139,ase_pt_3e339a7a3cdc4e44,LONG,CALL,0.5000
1140,ase_pt_f663d57759104da1,SHORT,CALL,0.5000
1141,ase_pt_f663d57759104da1,LONG,CALL,0.5000
1144,ase_pt_14bbea05d32a4a64,LONG,CALL,0.5000
1150,ase_pt_7321ce7d9a704a8b,LONG,CALL,0.5000
1152,ase_pt_5e8f0d60fbd54fb2,SHORT,CALL,0.5000
1162,ase_pt_0f75b5e82d514193,LONG,CALL,0.5000
1164,ase_pt_937155f971934804,LONG,CALL,0.5000
1168,ase_pt_532c902bfb4748ee,LONG,CALL,0.5000
1169,ase_pt_532c902bfb4748ee,SHORT,CALL,0.5000
1174,ase_pt_c62db28384754bcc,LONG,CALL,0.5000
1178,ase_pt_a46af2f3109f4baf,LONG,CALL,0.5000
1180,ase_pt_4b4633b31af942dc,LONG,CALL,0.5000
1182,ase_pt_2b871389c3f94b23,SHORT,CALL,0.5000
1186,ase_pt_256ccb2dec9a44b2,LONG,CALL,0.5000
1190,ase_pt_90fdbdd9ef814faa,SHORT,CALL,0.5000
1191,ase_pt_90fdbdd9ef814faa,LONG,CALL,0.5000
1199,ase_pt_2f51cdd5a4bc4ffd,SHORT,CALL,0.5000
1205,ase_pt_7c3ef7e616e149da,SHORT,CALL,0.5000
1209,ase_pt_ae12830c35754db8,SHORT,CALL,0.5000
1215,ase_pt_335da21099bf469e,SHORT,CALL,0.5000
1221,ase_pt_c6e58215b6bc4846,SHORT,CALL,0.5000
1224,ase_pt_e56739d70d014172,SHORT,CALL,0.5000
1227,ase_pt_d98382cd2b4f4c2d,SHORT,CALL,0.5000
1232,ase_pt_559d9e7244b542ea,LONG,CALL,0.5000
1233,ase_pt_559d9e7244b542ea,SHORT,CALL,0.5000
1234,ase_pt_559d9e7244b542ea,LONG,CALL,0.5000
1236,ase_pt_bf3cd83403654aef,SHORT,CALL,0.5000
1287,ase_pt_00ab5dd704f449f7,SHORT,CALL,0.5000
1290,ase_pt_fff14c0d833a43a4,SHORT,CALL,0.5000
1305,ase_pt_5208c296a9d047a4,SHORT,CALL,0.5000
1309,ase_pt_c90f2d4483524cf3,LONG,CALL,0.5000
1316,ase_pt_8d272733b82b486a,LONG,CALL,0.5000
1324,ase_pt_feffd623b601459d,LONG,CALL,0.5000
1326,ase_pt_d339d8eab1824973,LONG,CALL,0.5000
1327,ase_pt_d339d8eab1824973,SHORT,CALL,0.5000
1328,ase_pt_cfeb044893794459,LONG,CALL,0.5000
1333,ase_pt_5ad3da4131714e30,SHORT,CALL,0.5000
1339,ase_pt_420f5395718a4e36,LONG,CALL,0.5000
1340,ase_pt_420f5395718a4e36,SHORT,CALL,0.5000
1345,ase_pt_d6ed352fe4334e51,LONG,CALL,0.5000
1348,ase_pt_687d43cfbe23447f,SHORT,CALL,0.5000
1351,ase_pt_1dfa879e84f34a36,SHORT,CALL,0.5000
1375,ase_pt_eb98d0776e8e4c2b,SHORT,CALL,0.5000
1401,ase_pt_7179b9b59f2946e7,LONG,CALL,0.5000
1404,ase_pt_5838a244a64d48a7,SHORT,CALL,0.5000
1411,ase_pt_e549a8e66b504915,LONG,CALL,0.5000
1413,ase_pt_5b867797cbbb4df8,LONG,CALL,0.5000
1419,ase_pt_b0cb97a05fe0422f,LONG,CALL,0.5000
1441,ase_pt_b561dca737e64954,LONG,CALL,0.5000
1449,ase_pt_3e3127f519aa4b36,SHORT,CALL,0.5000
1450,ase_pt_3e3127f519aa4b36,LONG,CALL,0.5000
1461,ase_pt_6474cf69996b4496,SHORT,CALL,0.5000
1462,ase_pt_6474cf69996b4496,LONG,CALL,0.5000
1463,ase_pt_25308f99b8a44dab,SHORT,CALL,0.5000
1464,ase_pt_25308f99b8a44dab,LONG,CALL,0.5000
1467,ase_pt_af7b9105f1b44a39,LONG,CALL,0.5000
1473,ase_pt_ddcc6f854e4843f4,LONG,CALL,0.5000
1475,ase_pt_476a12c189d04554,SHORT,CALL,0.5000
1485,ase_pt_771678d014254c74,LONG,CALL,0.5000
