entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2025-01-21,2025-01-29,603.05,2025-02-14,10xO:SPY250214P00603000 | -10xO:SPY250214P00598000 | -10xO:SPY250214P00593000 | 10xO:SPY250214P00588000,480.0,1560.0,1080.0,TP_150PCT,10,150,,480.0,23_put_ladder_defined_risk
2025-01-27,2025-02-21,599.37,2025-02-21,8xO:SPY250221P00599000 | -8xO:SPY250221P00594000 | -8xO:SPY250221P00589000 | 8xO:SPY250221P00584000,456.0,0.0,-456.0,EXPIRY_FLATTEN,8,150,,456.0,23_put_ladder_defined_risk
2025-02-03,2025-02-25,597.77,2025-02-28,9xO:SPY250228P00598000 | -9xO:SPY250228P00593000 | -9xO:SPY250228P00588000 | 9xO:SPY250228P00583000,486.0,1233.0,747.0,TP_150PCT,9,150,,486.0,23_put_ladder_defined_risk
2025-02-10,2025-02-25,604.85,2025-03-07,7xO:SPY250307P00605000 | -7xO:SPY250307P00600000 | -7xO:SPY250307P00595000 | 7xO:SPY250307P00590000,455.0,1253.0,798.0,TP_150PCT,7,150,,455.0,23_put_ladder_defined_risk
2025-02-18,2025-03-05,611.49,2025-03-14,5xO:SPY250314P00611000 | -5xO:SPY250314P00606000 | -5xO:SPY250314P00601000 | 5xO:SPY250314P00596000,460.0,1775.0,1315.0,TP_150PCT,5,150,,460.0,23_put_ladder_defined_risk
2025-02-24,2025-03-07,597.21,2025-03-21,8xO:SPY250321P00597000 | -8xO:SPY250321P00592000 | -8xO:SPY250321P00587000 | 8xO:SPY250321P00582000,488.0,2032.0,1544.0,TP_150PCT,8,150,,488.0,23_put_ladder_defined_risk
2025-03-17,2025-03-18,567.15,2025-04-11,20xO:SPY250411P00567000 | -20xO:SPY250411P00562000 | -20xO:SPY250411P00557000 | 20xO:SPY250411P00552000,480.0,2040.0,1560.0,TP_150PCT,20,150,,480.0,23_put_ladder_defined_risk
2025-03-31,2025-04-09,559.39,2025-04-25,6xO:SPY250425P00559000 | -6xO:SPY250425P00554000 | -6xO:SPY250425P00549000 | 6xO:SPY250425P00544000,486.0,5094.0,4608.0,TP_150PCT,6,150,,486.0,23_put_ladder_defined_risk
2025-04-14,2025-05-09,539.12,2025-05-09,1xO:SPY250509P00539000 | -1xO:SPY250509P00534000 | -1xO:SPY250509P00529000 | 1xO:SPY250509P00524000,416.0,0.0,-416.0,EXPIRY_FLATTEN,1,150,,416.0,23_put_ladder_defined_risk
2025-04-21,2025-05-16,513.88,2025-05-16,5xO:SPY250516P00514000 | -5xO:SPY250516P00509000 | -5xO:SPY250516P00504000 | 5xO:SPY250516P00499000,470.0,10.0,-460.0,EXPIRY_FLATTEN,5,150,,470.0,23_put_ladder_defined_risk
2025-04-28,2025-05-23,550.85,2025-05-23,5xO:SPY250523P00551000 | -5xO:SPY250523P00546000 | -5xO:SPY250523P00541000 | 5xO:SPY250523P00536000,425.0,0.0,-425.0,EXPIRY_FLATTEN,5,150,,425.0,23_put_ladder_defined_risk
2025-05-05,2025-05-30,563.51,2025-05-30,11xO:SPY250530P00564000 | -11xO:SPY250530P00559000 | -11xO:SPY250530P00554000 | 11xO:SPY250530P00549000,462.0,0.0,-462.0,EXPIRY_FLATTEN,11,150,,462.0,23_put_ladder_defined_risk
2025-05-12,2025-06-06,582.99,2025-06-06,9xO:SPY250606P00583000 | -9xO:SPY250606P00578000 | -9xO:SPY250606P00573000 | 9xO:SPY250606P00568000,468.0,0.0,-468.0,EXPIRY_FLATTEN,9,150,,468.0,23_put_ladder_defined_risk
2025-05-19,2025-06-13,594.85,2025-06-13,7xO:SPY250613P00595000 | -7xO:SPY250613P00590000 | -7xO:SPY250613P00585000 | 7xO:SPY250613P00580000,476.0,14.0,-462.0,EXPIRY_FLATTEN,7,150,,476.0,23_put_ladder_defined_risk
2025-05-27,2025-06-20,591.15,2025-06-20,6xO:SPY250620P00591000 | -6xO:SPY250620P00586000 | -6xO:SPY250620P00581000 | 6xO:SPY250620P00576000,492.0,0.0,-492.0,EXPIRY_FLATTEN,6,150,,492.0,23_put_ladder_defined_risk
2025-06-02,2025-06-27,592.71,2025-06-27,5xO:SPY250627P00593000 | -5xO:SPY250627P00588000 | -5xO:SPY250627P00583000 | 5xO:SPY250627P00578000,480.0,0.0,-480.0,EXPIRY_FLATTEN,5,150,,480.0,23_put_ladder_defined_risk
2025-06-16,2025-06-17,602.68,2025-07-11,12xO:SPY250711P00603000 | -12xO:SPY250711P00598000 | -12xO:SPY250711P00593000 | 12xO:SPY250711P00588000,480.0,1296.0,816.0,TP_150PCT,12,150,,480.0,23_put_ladder_defined_risk
2025-06-23,2025-07-18,600.15,2025-07-18,8xO:SPY250718P00600000 | -8xO:SPY250718P00595000 | -8xO:SPY250718P00590000 | 8xO:SPY250718P00585000,480.0,0.0,-480.0,EXPIRY_FLATTEN,8,150,,480.0,23_put_ladder_defined_risk
2025-06-30,2025-07-25,617.85,2025-07-25,9xO:SPY250725P00618000 | -9xO:SPY250725P00613000 | -9xO:SPY250725P00608000 | 9xO:SPY250725P00603000,495.0,9.0,-486.0,EXPIRY_FLATTEN,9,150,,495.0,23_put_ladder_defined_risk
2025-07-07,2025-07-08,620.68,2025-08-01,250xO:SPY250801P00621000 | -250xO:SPY250801P00616000 | -250xO:SPY250801P00611000 | 250xO:SPY250801P00606000,500.0,17750.0,17250.0,TP_150PCT,250,150,,500.0,23_put_ladder_defined_risk
2025-07-14,2025-08-08,624.81,2025-08-08,8xO:SPY250808P00625000 | -8xO:SPY250808P00620000 | -8xO:SPY250808P00615000 | 8xO:SPY250808P00610000,472.0,0.0,-472.0,EXPIRY_FLATTEN,8,150,,472.0,23_put_ladder_defined_risk
2025-07-21,2025-08-15,628.77,2025-08-15,6xO:SPY250815P00629000 | -6xO:SPY250815P00624000 | -6xO:SPY250815P00619000 | 6xO:SPY250815P00614000,456.0,96.0,-360.0,EXPIRY_FLATTEN,6,150,,456.0,23_put_ladder_defined_risk
2025-07-28,2025-08-22,636.94,2025-08-22,7xO:SPY250822P00637000 | -7xO:SPY250822P00632000 | -7xO:SPY250822P00627000 | 7xO:SPY250822P00622000,483.0,0.0,-483.0,EXPIRY_FLATTEN,7,150,,483.0,23_put_ladder_defined_risk
2025-08-04,2025-08-29,631.17,2025-08-29,9xO:SPY250829P00631000 | -9xO:SPY250829P00626000 | -9xO:SPY250829P00621000 | 9xO:SPY250829P00616000,477.0,0.0,-477.0,EXPIRY_FLATTEN,9,150,,477.0,23_put_ladder_defined_risk
2025-08-11,2025-09-05,635.92,2025-09-05,11xO:SPY250905P00636000 | -11xO:SPY250905P00631000 | -11xO:SPY250905P00626000 | 11xO:SPY250905P00621000,484.0,0.0,-484.0,EXPIRY_FLATTEN,11,150,,484.0,23_put_ladder_defined_risk
2025-08-18,2025-09-12,643.3,2025-09-12,8xO:SPY250912P00643000 | -8xO:SPY250912P00638000 | -8xO:SPY250912P00633000 | 8xO:SPY250912P00628000,480.0,8.0,-472.0,EXPIRY_FLATTEN,8,150,,480.0,23_put_ladder_defined_risk
2025-08-25,2025-09-19,642.47,2025-09-19,5xO:SPY250919P00642000 | -5xO:SPY250919P00637000 | -5xO:SPY250919P00632000 | 5xO:SPY250919P00627000,450.0,0.0,-450.0,EXPIRY_FLATTEN,5,150,,450.0,23_put_ladder_defined_risk
2025-09-02,2025-09-26,640.27,2025-09-26,10xO:SPY250926P00640000 | -10xO:SPY250926P00635000 | -10xO:SPY250926P00630000 | 10xO:SPY250926P00625000,490.0,0.0,-490.0,EXPIRY_FLATTEN,10,150,,490.0,23_put_ladder_defined_risk
2025-09-08,2025-10-03,648.83,2025-10-03,4xO:SPY251003P00649000 | -4xO:SPY251003P00644000 | -4xO:SPY251003P00639000 | 4xO:SPY251003P00634000,424.0,0.0,-424.0,EXPIRY_FLATTEN,4,150,,424.0,23_put_ladder_defined_risk
2025-09-15,2025-10-10,660.91,2025-10-10,5xO:SPY251010P00661000 | -5xO:SPY251010P00656000 | -5xO:SPY251010P00651000 | 5xO:SPY251010P00646000,445.0,2515.0,2070.0,TP_150PCT,5,150,,445.0,23_put_ladder_defined_risk
2025-09-22,2025-10-17,666.84,2025-10-17,5xO:SPY251017P00667000 | -5xO:SPY251017P00662000 | -5xO:SPY251017P00657000 | 5xO:SPY251017P00652000,420.0,980.0,560.0,EXPIRY_FLATTEN,5,150,,420.0,23_put_ladder_defined_risk
2025-09-29,2025-10-24,663.68,2025-10-24,8xO:SPY251024P00664000 | -8xO:SPY251024P00659000 | -8xO:SPY251024P00654000 | 8xO:SPY251024P00649000,496.0,0.0,-496.0,EXPIRY_FLATTEN,8,150,,496.0,23_put_ladder_defined_risk
2025-10-06,2025-10-16,671.61,2025-10-31,6xO:SPY251031P00672000 | -6xO:SPY251031P00667000 | -6xO:SPY251031P00662000 | 6xO:SPY251031P00657000,462.0,1878.0,1416.0,TP_150PCT,6,150,,462.0,23_put_ladder_defined_risk
2025-10-13,2025-11-07,663.04,2025-11-07,4xO:SPY251107P00663000 | -4xO:SPY251107P00658000 | -4xO:SPY251107P00653000 | 4xO:SPY251107P00648000,424.0,0.0,-424.0,EXPIRY_FLATTEN,4,150,,424.0,23_put_ladder_defined_risk
2025-10-20,2025-11-14,671.3,2025-11-14,6xO:SPY251114P00671000 | -6xO:SPY251114P00666000 | -6xO:SPY251114P00661000 | 6xO:SPY251114P00656000,432.0,138.0,-294.0,EXPIRY_FLATTEN,6,150,,432.0,23_put_ladder_defined_risk
2025-10-27,2025-11-07,685.24,2025-11-21,7xO:SPY251121P00685000 | -7xO:SPY251121P00680000 | -7xO:SPY251121P00675000 | 7xO:SPY251121P00670000,462.0,1183.0,721.0,TP_150PCT,7,150,,462.0,23_put_ladder_defined_risk
2025-11-03,2025-11-18,683.34,2025-11-28,7xO:SPY251128P00683000 | -7xO:SPY251128P00678000 | -7xO:SPY251128P00673000 | 7xO:SPY251128P00668000,497.0,2912.0,2415.0,TP_150PCT,7,150,,497.0,23_put_ladder_defined_risk
2025-11-10,2025-11-17,681.44,2025-12-05,8xO:SPY251205P00681000 | -8xO:SPY251205P00676000 | -8xO:SPY251205P00671000 | 8xO:SPY251205P00666000,448.0,2736.0,2288.0,TP_150PCT,8,150,,448.0,23_put_ladder_defined_risk
2025-11-24,2025-12-19,668.73,2025-12-19,8xO:SPY251219P00669000 | -8xO:SPY251219P00664000 | -8xO:SPY251219P00659000 | 8xO:SPY251219P00654000,448.0,0.0,-448.0,EXPIRY_FLATTEN,8,150,,448.0,23_put_ladder_defined_risk
2025-12-01,2025-12-26,680.27,2025-12-26,7xO:SPY251226P00680000 | -7xO:SPY251226P00675000 | -7xO:SPY251226P00670000 | 7xO:SPY251226P00665000,469.0,0.0,-469.0,EXPIRY_FLATTEN,7,150,,469.0,23_put_ladder_defined_risk
2025-12-08,2026-01-02,683.63,2026-01-02,3xO:SPY260102P00684000 | -3xO:SPY260102P00679000 | -3xO:SPY260102P00674000 | 3xO:SPY260102P00669000,408.0,177.0,-231.0,EXPIRY_FLATTEN,3,150,,408.0,23_put_ladder_defined_risk
2025-12-15,2025-12-18,680.73,2026-01-09,20xO:SPY260109P00681000 | -20xO:SPY260109P00676000 | -20xO:SPY260109P00671000 | 20xO:SPY260109P00666000,480.0,1460.0,980.0,TP_150PCT,20,150,,480.0,23_put_ladder_defined_risk
2025-12-22,2026-01-16,684.83,2026-01-16,7xO:SPY260116P00685000 | -7xO:SPY260116P00680000 | -7xO:SPY260116P00675000 | 7xO:SPY260116P00670000,483.0,0.0,-483.0,EXPIRY_FLATTEN,7,150,,483.0,23_put_ladder_defined_risk
2025-12-29,2026-01-20,687.85,2026-01-23,6xO:SPY260123P00688000 | -6xO:SPY260123P00683000 | -6xO:SPY260123P00678000 | 6xO:SPY260123P00673000,438.0,1302.0,864.0,TP_150PCT,6,150,,438.0,23_put_ladder_defined_risk
2026-01-05,2026-01-30,687.72,2026-01-30,7xO:SPY260130P00688000 | -7xO:SPY260130P00683000 | -7xO:SPY260130P00678000 | 7xO:SPY260130P00673000,483.0,0.0,-483.0,EXPIRY_FLATTEN,7,150,,483.0,23_put_ladder_defined_risk
2026-01-12,2026-02-05,695.16,2026-02-06,7xO:SPY260206P00695000 | -7xO:SPY260206P00690000 | -7xO:SPY260206P00685000 | 7xO:SPY260206P00680000,497.0,1631.0,1134.0,TP_150PCT,7,150,,497.0,23_put_ladder_defined_risk
2026-01-20,2026-01-21,677.58,2026-02-13,7xO:SPY260213P00678000 | -7xO:SPY260213P00673000 | -7xO:SPY260213P00668000 | 7xO:SPY260213P00663000,483.0,1477.0,994.0,TP_150PCT,7,150,,483.0,23_put_ladder_defined_risk
2026-01-26,2026-02-05,692.73,2026-02-20,8xO:SPY260220P00693000 | -8xO:SPY260220P00688000 | -8xO:SPY260220P00683000 | 8xO:SPY260220P00678000,488.0,1728.0,1240.0,TP_150PCT,8,150,,488.0,23_put_ladder_defined_risk
2026-02-02,2026-02-19,695.41,2026-02-27,9xO:SPY260227P00695000 | -9xO:SPY260227P00690000 | -9xO:SPY260227P00685000 | 9xO:SPY260227P00680000,495.0,1935.0,1440.0,TP_150PCT,9,150,,495.0,23_put_ladder_defined_risk
2026-02-09,2026-02-19,693.95,2026-03-06,5xO:SPY260306P00694000 | -5xO:SPY260306P00689000 | -5xO:SPY260306P00684000 | 5xO:SPY260306P00679000,465.0,1255.0,790.0,TP_150PCT,5,150,,465.0,23_put_ladder_defined_risk
2026-02-17,2026-03-13,682.85,2026-03-13,3xO:SPY260313P00683000 | -3xO:SPY260313P00678000 | -3xO:SPY260313P00673000 | 3xO:SPY260313P00668000,411.0,51.0,-360.0,EXPIRY_FLATTEN,3,150,,411.0,23_put_ladder_defined_risk
2026-02-23,2026-03-20,682.39,2026-03-20,4xO:SPY260320P00682000 | -4xO:SPY260320P00677000 | -4xO:SPY260320P00672000 | 4xO:SPY260320P00667000,468.0,180.0,-288.0,EXPIRY_FLATTEN,4,150,,468.0,23_put_ladder_defined_risk
2026-03-02,2026-03-05,686.38,2026-03-27,8xO:SPY260327P00686000 | -8xO:SPY260327P00681000 | -8xO:SPY260327P00676000 | 8xO:SPY260327P00671000,448.0,1480.0,1032.0,TP_150PCT,8,150,,448.0,23_put_ladder_defined_risk
2026-03-16,2026-03-20,669.03,2026-04-10,10xO:SPY260410P00669000 | -10xO:SPY260410P00664000 | -10xO:SPY260410P00659000 | 10xO:SPY260410P00654000,470.0,4360.0,3890.0,TP_150PCT,10,150,,470.0,23_put_ladder_defined_risk
2026-03-23,2026-04-17,655.38,2026-04-17,14xO:SPY260417P00655000 | -14xO:SPY260417P00650000 | -14xO:SPY260417P00645000 | 14xO:SPY260417P00640000,490.0,0.0,-490.0,EXPIRY_FLATTEN,14,150,,490.0,23_put_ladder_defined_risk
2026-03-30,2026-04-24,631.97,2026-04-24,4xO:SPY260424P00632000 | -4xO:SPY260424P00627000 | -4xO:SPY260424P00622000 | 4xO:SPY260424P00617000,416.0,4.0,-412.0,EXPIRY_FLATTEN,4,150,,416.0,23_put_ladder_defined_risk
2026-04-06,2026-04-10,658.93,2026-05-01,19xO:SPY260501P00659000 | -19xO:SPY260501P00654000 | -19xO:SPY260501P00649000 | 19xO:SPY260501P00644000,494.0,1330.0,836.0,TP_150PCT,19,150,,494.0,23_put_ladder_defined_risk
2026-04-13,2026-05-08,686.1,2026-05-08,9xO:SPY260508P00686000 | -9xO:SPY260508P00681000 | -9xO:SPY260508P00676000 | 9xO:SPY260508P00671000,459.0,0.0,-459.0,EXPIRY_FLATTEN,9,150,,459.0,23_put_ladder_defined_risk
2026-04-20,2026-04-22,708.72,2026-05-15,26xO:SPY260515P00709000 | -26xO:SPY260515P00704000 | -26xO:SPY260515P00699000 | 26xO:SPY260515P00694000,494.0,1274.0,780.0,TP_150PCT,26,150,,494.0,23_put_ladder_defined_risk
2026-04-27,2026-04-29,715.17,2026-05-22,8xO:SPY260522P00715000 | -8xO:SPY260522P00710000 | -8xO:SPY260522P00705000 | 8xO:SPY260522P00700000,448.0,1296.0,848.0,TP_150PCT,8,150,,448.0,23_put_ladder_defined_risk
2026-05-04,2026-05-29,718.01,2026-05-29,8xO:SPY260529P00718000 | -8xO:SPY260529P00713000 | -8xO:SPY260529P00708000 | 8xO:SPY260529P00703000,464.0,0.0,-464.0,EXPIRY_FLATTEN,8,150,,464.0,23_put_ladder_defined_risk
2026-05-11,2026-06-05,739.3,2026-06-05,7xO:SPY260605P00739000 | -7xO:SPY260605P00734000 | -7xO:SPY260605P00729000 | 7xO:SPY260605P00724000,462.0,3045.0,2583.0,TP_150PCT,7,150,,462.0,23_put_ladder_defined_risk
2026-05-18,2026-05-20,738.65,2026-06-12,1xO:SPY260612P00739000 | -1xO:SPY260612P00734000 | -1xO:SPY260612P00729000 | 1xO:SPY260612P00724000,-11.0,62.0,73.0,TP_150PCT,1,150,,11.0,23_put_ladder_defined_risk
2026-06-01,2026-06-08,758.54,2026-06-26,8xO:SPY260626P00759000 | -8xO:SPY260626P00754000 | -8xO:SPY260626P00749000 | 8xO:SPY260626P00744000,448.0,2424.0,1976.0,TP_150PCT,8,150,,448.0,23_put_ladder_defined_risk
2026-06-15,2026-06-24,754.83,2026-07-10,6xO:SPY260710P00755000 | -6xO:SPY260710P00750000 | -6xO:SPY260710P00745000 | 6xO:SPY260710P00740000,444.0,4650.0,4206.0,TP_150PCT,6,150,,444.0,23_put_ladder_defined_risk
2026-06-22,2026-06-24,744.39,2026-07-17,7xO:SPY260717P00744000 | -7xO:SPY260717P00739000 | -7xO:SPY260717P00734000 | 7xO:SPY260717P00729000,490.0,3493.0,3003.0,TP_150PCT,7,150,,490.0,23_put_ladder_defined_risk
2026-06-29,2026-07-23,741.0,2026-07-24,10xO:SPY260724P00741000 | -10xO:SPY260724P00736000 | -10xO:SPY260724P00731000 | 10xO:SPY260724P00726000,470.0,1550.0,1080.0,TP_150PCT,10,150,,470.0,23_put_ladder_defined_risk
2026-07-06,2026-07-07,751.28,2026-07-31,29xO:SPY260731P00751000 | -29xO:SPY260731P00746000 | -29xO:SPY260731P00741000 | 29xO:SPY260731P00736000,493.0,3828.0,3335.0,TP_150PCT,29,150,,493.0,23_put_ladder_defined_risk
2026-07-13,2026-07-23,749.17,2026-08-07,16xO:SPY260807P00749000 | -16xO:SPY260807P00744000 | -16xO:SPY260807P00739000 | 16xO:SPY260807P00734000,480.0,2960.0,2480.0,TP_150PCT,16,150,,480.0,23_put_ladder_defined_risk
2026-07-20,2026-07-22,742.09,2026-08-14,26xO:SPY260814P00742000 | -26xO:SPY260814P00737000 | -26xO:SPY260814P00732000 | 26xO:SPY260814P00727000,494.0,1482.0,988.0,TP_150PCT,26,150,,494.0,23_put_ladder_defined_risk
