entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2024-10-28,2024-11-06,580.83,2024-11-22,4xO:SPY241122C00586000 | -4xO:SPY241122P00576000,420.0,3484.0,3064.0,TP_75PCT,4,75,0.0,420.0,Bullish Risk Reversal
2024-11-04,2024-11-05,569.81,2024-11-29,10xO:SPY241129C00575000 | -10xO:SPY241129P00565000,500.0,7380.0,6880.0,TP_75PCT,10,75,0.0,500.0,Bullish Risk Reversal
2024-11-11,2024-11-26,598.76,2024-12-06,8xO:SPY241206C00604000 | -8xO:SPY241206P00594000,496.0,1176.0,680.0,TP_75PCT,8,75,0.0,496.0,Bullish Risk Reversal
2024-11-18,2024-11-19,588.15,2024-12-13,4xO:SPY241213C00593000 | -4xO:SPY241213P00583000,460.0,1144.0,684.0,TP_75PCT,4,75,0.0,460.0,Bullish Risk Reversal
2024-11-25,2024-11-26,597.53,2024-12-20,1xO:SPY241220C00603000 | -1xO:SPY241220P00593000,-2.0,265.0,267.0,TP_75PCT,1,75,0.0,2.0,Bullish Risk Reversal
2024-12-02,2024-12-04,603.63,2024-12-27,1xO:SPY241227C00609000 | -1xO:SPY241227P00599000,-31.0,215.0,246.0,TP_75PCT,1,75,0.0,31.0,Bullish Risk Reversal
2024-12-09,2024-12-11,604.68,2025-01-03,1xO:SPY250103C00610000 | -1xO:SPY250103P00600000,-92.0,117.0,209.0,TP_75PCT,1,75,0.0,92.0,Bullish Risk Reversal
2024-12-16,2025-01-10,606.79,2025-01-10,1xO:SPY250110C00612000 | -1xO:SPY250110P00602000,-44.0,-2173.0,-2129.0,EXPIRY_FLATTEN,1,75,0.0,44.0,Bullish Risk Reversal
2024-12-23,2024-12-24,594.69,2025-01-17,6xO:SPY250117C00600000 | -6xO:SPY250117P00590000,462.0,3342.0,2880.0,TP_75PCT,6,75,0.0,462.0,Bullish Risk Reversal
2024-12-30,2025-01-03,588.22,2025-01-24,2xO:SPY250124C00593000 | -2xO:SPY250124P00583000,340.0,708.0,368.0,TP_75PCT,2,75,0.0,340.0,Bullish Risk Reversal
2025-01-06,2025-01-21,595.36,2025-01-31,4xO:SPY250131C00600000 | -4xO:SPY250131P00590000,472.0,2420.0,1948.0,TP_75PCT,4,75,0.0,472.0,Bullish Risk Reversal
2025-01-13,2025-01-15,581.39,2025-02-07,5xO:SPY250207C00586000 | -5xO:SPY250207P00576000,420.0,5520.0,5100.0,TP_75PCT,5,75,0.0,420.0,Bullish Risk Reversal
2025-01-21,2025-01-22,603.05,2025-02-14,7xO:SPY250214C00608000 | -7xO:SPY250214P00598000,476.0,2394.0,1918.0,TP_75PCT,7,75,0.0,476.0,Bullish Risk Reversal
2025-01-27,2025-01-28,599.37,2025-02-21,4xO:SPY250221C00604000 | -4xO:SPY250221P00594000,444.0,1948.0,1504.0,TP_75PCT,4,75,0.0,444.0,Bullish Risk Reversal
2025-02-03,2025-02-04,597.77,2025-02-28,7xO:SPY250228C00603000 | -7xO:SPY250228P00593000,455.0,2191.0,1736.0,TP_75PCT,7,75,0.0,455.0,Bullish Risk Reversal
2025-02-10,2025-02-11,604.85,2025-03-07,55xO:SPY250307C00610000 | -55xO:SPY250307P00600000,495.0,4180.0,3685.0,TP_75PCT,55,75,0.0,495.0,Bullish Risk Reversal
2025-02-18,2025-02-19,611.49,2025-03-14,5xO:SPY250314C00616000 | -5xO:SPY250314P00606000,420.0,760.0,340.0,TP_75PCT,5,75,0.0,420.0,Bullish Risk Reversal
2025-02-24,2025-03-21,597.21,2025-03-21,9xO:SPY250321C00602000 | -9xO:SPY250321P00592000,468.0,-24741.0,-25209.0,EXPIRY_FLATTEN,9,75,0.0,468.0,Bullish Risk Reversal
2025-03-03,2025-03-28,583.77,2025-03-28,1xO:SPY250328C00589000 | -1xO:SPY250328P00579000,-43.0,-2356.0,-2313.0,EXPIRY_FLATTEN,1,75,0.0,43.0,Bullish Risk Reversal
2025-03-17,2025-03-24,567.15,2025-04-11,1xO:SPY250411C00572000 | -1xO:SPY250411P00562000,-84.0,672.0,756.0,TP_75PCT,1,75,0.0,84.0,Bullish Risk Reversal
2025-03-31,2025-04-01,559.39,2025-04-25,12xO:SPY250425C00564000 | -12xO:SPY250425P00554000,468.0,2256.0,1788.0,TP_75PCT,12,75,0.0,468.0,Bullish Risk Reversal
2025-04-14,2025-04-24,539.12,2025-05-09,3xO:SPY250509C00544000 | -3xO:SPY250509P00534000,480.0,2163.0,1683.0,TP_75PCT,3,75,0.0,480.0,Bullish Risk Reversal
2025-04-21,2025-04-22,513.88,2025-05-16,4xO:SPY250516C00519000 | -4xO:SPY250516P00509000,420.0,4752.0,4332.0,TP_75PCT,4,75,0.0,420.0,Bullish Risk Reversal
2025-04-28,2025-04-29,550.85,2025-05-23,11xO:SPY250523C00556000 | -11xO:SPY250523P00546000,473.0,3674.0,3201.0,TP_75PCT,11,75,0.0,473.0,Bullish Risk Reversal
2025-05-05,2025-05-08,563.51,2025-05-30,1xO:SPY250530C00569000 | -1xO:SPY250530P00559000,-42.0,123.0,165.0,TP_75PCT,1,75,0.0,42.0,Bullish Risk Reversal
2025-05-12,2025-05-13,582.99,2025-06-06,6xO:SPY250606C00588000 | -6xO:SPY250606P00578000,450.0,2214.0,1764.0,TP_75PCT,6,75,0.0,450.0,Bullish Risk Reversal
2025-05-19,2025-06-04,594.85,2025-06-13,100xO:SPY250613C00600000 | -100xO:SPY250613P00590000,500.0,7000.0,6500.0,TP_75PCT,100,75,0.0,500.0,Bullish Risk Reversal
2025-05-27,2025-06-02,591.15,2025-06-20,27xO:SPY250620C00596000 | -27xO:SPY250620P00586000,486.0,2835.0,2349.0,TP_75PCT,27,75,0.0,486.0,Bullish Risk Reversal
2025-06-02,2025-06-03,592.71,2025-06-27,1xO:SPY250627C00598000 | -1xO:SPY250627P00588000,-82.0,138.0,220.0,TP_75PCT,1,75,0.0,82.0,Bullish Risk Reversal
2025-06-16,2025-06-24,602.68,2025-07-11,1xO:SPY250711C00608000 | -1xO:SPY250711P00598000,-113.0,324.0,437.0,TP_75PCT,1,75,0.0,113.0,Bullish Risk Reversal
2025-06-23,2025-06-24,600.15,2025-07-18,7xO:SPY250718C00605000 | -7xO:SPY250718P00595000,469.0,4375.0,3906.0,TP_75PCT,7,75,0.0,469.0,Bullish Risk Reversal
2025-07-07,2025-07-09,620.68,2025-08-01,16xO:SPY250801C00626000 | -16xO:SPY250801P00616000,496.0,5152.0,4656.0,TP_75PCT,16,75,0.0,496.0,Bullish Risk Reversal
2025-07-14,2025-07-17,624.81,2025-08-08,12xO:SPY250808C00630000 | -12xO:SPY250808P00620000,492.0,3636.0,3144.0,TP_75PCT,12,75,0.0,492.0,Bullish Risk Reversal
2025-07-21,2025-07-23,628.77,2025-08-15,8xO:SPY250815C00634000 | -8xO:SPY250815P00624000,448.0,4152.0,3704.0,TP_75PCT,8,75,0.0,448.0,Bullish Risk Reversal
2025-07-28,2025-07-30,636.94,2025-08-22,10xO:SPY250822C00642000 | -10xO:SPY250822P00632000,480.0,1430.0,950.0,TP_75PCT,10,75,0.0,480.0,Bullish Risk Reversal
2025-08-04,2025-08-06,631.17,2025-08-29,10xO:SPY250829C00636000 | -10xO:SPY250829P00626000,500.0,2020.0,1520.0,TP_75PCT,10,75,0.0,500.0,Bullish Risk Reversal
2025-08-11,2025-08-12,635.92,2025-09-05,10xO:SPY250905C00641000 | -10xO:SPY250905P00631000,470.0,6050.0,5580.0,TP_75PCT,10,75,0.0,470.0,Bullish Risk Reversal
2025-08-18,2025-08-22,643.3,2025-09-12,4xO:SPY250912C00648000 | -4xO:SPY250912P00638000,440.0,860.0,420.0,TP_75PCT,4,75,0.0,440.0,Bullish Risk Reversal
2025-08-25,2025-08-26,642.47,2025-09-19,6xO:SPY250919C00647000 | -6xO:SPY250919P00637000,450.0,1650.0,1200.0,TP_75PCT,6,75,0.0,450.0,Bullish Risk Reversal
2025-09-02,2025-09-03,640.27,2025-09-26,15xO:SPY250926C00645000 | -15xO:SPY250926P00635000,495.0,2955.0,2460.0,TP_75PCT,15,75,0.0,495.0,Bullish Risk Reversal
2025-09-08,2025-09-09,648.83,2025-10-03,1xO:SPY251003C00654000 | -1xO:SPY251003P00644000,-113.0,-14.0,99.0,TP_75PCT,1,75,0.0,113.0,Bullish Risk Reversal
2025-09-15,2025-09-18,660.91,2025-10-10,1xO:SPY251010C00666000 | -1xO:SPY251010P00656000,-97.0,36.0,133.0,TP_75PCT,1,75,0.0,97.0,Bullish Risk Reversal
2025-09-22,2025-10-01,666.84,2025-10-17,12xO:SPY251017C00672000 | -12xO:SPY251017P00662000,480.0,1176.0,696.0,TP_75PCT,12,75,0.0,480.0,Bullish Risk Reversal
2025-09-29,2025-09-30,663.68,2025-10-24,33xO:SPY251024C00669000 | -33xO:SPY251024P00659000,495.0,8547.0,8052.0,TP_75PCT,33,75,0.0,495.0,Bullish Risk Reversal
2025-10-06,2025-10-08,671.61,2025-10-31,8xO:SPY251031C00677000 | -8xO:SPY251031P00667000,488.0,1168.0,680.0,TP_75PCT,8,75,0.0,488.0,Bullish Risk Reversal
2025-10-13,2025-10-15,663.04,2025-11-07,6xO:SPY251107C00668000 | -6xO:SPY251107P00658000,444.0,1242.0,798.0,TP_75PCT,6,75,0.0,444.0,Bullish Risk Reversal
2025-10-20,2025-10-24,671.3,2025-11-14,4xO:SPY251114C00676000 | -4xO:SPY251114P00666000,500.0,2124.0,1624.0,TP_75PCT,4,75,0.0,500.0,Bullish Risk Reversal
2025-10-27,2025-10-28,685.24,2025-11-21,4xO:SPY251121C00690000 | -4xO:SPY251121P00680000,460.0,1016.0,556.0,TP_75PCT,4,75,0.0,460.0,Bullish Risk Reversal
2025-11-03,2025-11-28,683.34,2025-11-28,4xO:SPY251128C00688000 | -4xO:SPY251128P00678000,492.0,0.0,-492.0,EXPIRY_FLATTEN,4,75,0.0,492.0,Bullish Risk Reversal
2025-11-10,2025-11-11,681.44,2025-12-05,4xO:SPY251205C00686000 | -4xO:SPY251205P00676000,500.0,1124.0,624.0,TP_75PCT,4,75,0.0,500.0,Bullish Risk Reversal
2025-11-17,2025-11-24,665.67,2025-12-12,1xO:SPY251212C00671000 | -1xO:SPY251212P00661000,-27.0,288.0,315.0,TP_75PCT,1,75,0.0,27.0,Bullish Risk Reversal
2025-11-24,2025-11-25,668.73,2025-12-19,62xO:SPY251219C00674000 | -62xO:SPY251219P00664000,496.0,31558.0,31062.0,TP_75PCT,62,75,0.0,496.0,Bullish Risk Reversal
2025-12-01,2025-12-02,680.27,2025-12-26,1xO:SPY251226C00685000 | -1xO:SPY251226P00675000,-52.0,56.0,108.0,TP_75PCT,1,75,0.0,52.0,Bullish Risk Reversal
2025-12-08,2025-12-10,683.63,2026-01-02,1xO:SPY260102C00689000 | -1xO:SPY260102P00679000,-133.0,186.0,319.0,TP_75PCT,1,75,0.0,133.0,Bullish Risk Reversal
2025-12-15,2025-12-19,680.73,2026-01-09,1xO:SPY260109C00686000 | -1xO:SPY260109P00676000,-92.0,16.0,108.0,TP_75PCT,1,75,0.0,92.0,Bullish Risk Reversal
2025-12-22,2025-12-23,684.83,2026-01-16,6xO:SPY260116C00690000 | -6xO:SPY260116P00680000,456.0,1740.0,1284.0,TP_75PCT,6,75,0.0,456.0,Bullish Risk Reversal
2025-12-29,2026-01-06,687.85,2026-01-23,6xO:SPY260123C00693000 | -6xO:SPY260123P00683000,492.0,1980.0,1488.0,TP_75PCT,6,75,0.0,492.0,Bullish Risk Reversal
2026-01-05,2026-01-06,687.72,2026-01-30,11xO:SPY260130C00693000 | -11xO:SPY260130P00683000,495.0,4444.0,3949.0,TP_75PCT,11,75,0.0,495.0,Bullish Risk Reversal
2026-01-12,2026-02-06,695.16,2026-02-06,5xO:SPY260206C00700000 | -5xO:SPY260206P00690000,440.0,-20.0,-460.0,EXPIRY_FLATTEN,5,75,0.0,440.0,Bullish Risk Reversal
2026-01-20,2026-01-21,677.58,2026-02-13,1xO:SPY260213C00683000 | -1xO:SPY260213P00673000,-5.0,730.0,735.0,TP_75PCT,1,75,0.0,5.0,Bullish Risk Reversal
2026-01-26,2026-01-27,692.73,2026-02-20,21xO:SPY260220C00698000 | -21xO:SPY260220P00688000,483.0,5103.0,4620.0,TP_75PCT,21,75,0.0,483.0,Bullish Risk Reversal
2026-02-02,2026-02-27,695.41,2026-02-27,4xO:SPY260227C00700000 | -4xO:SPY260227P00690000,444.0,-1676.0,-2120.0,EXPIRY_FLATTEN,4,75,0.0,444.0,Bullish Risk Reversal
2026-02-09,2026-03-06,693.95,2026-03-06,4xO:SPY260306C00699000 | -4xO:SPY260306P00689000,420.0,-7040.0,-7460.0,EXPIRY_FLATTEN,4,75,0.0,420.0,Bullish Risk Reversal
2026-02-17,2026-02-18,682.85,2026-03-13,35xO:SPY260313C00688000 | -35xO:SPY260313P00678000,490.0,10710.0,10220.0,TP_75PCT,35,75,0.0,490.0,Bullish Risk Reversal
2026-02-23,2026-02-24,682.39,2026-03-20,33xO:SPY260320C00687000 | -33xO:SPY260320P00677000,495.0,13662.0,13167.0,TP_75PCT,33,75,0.0,495.0,Bullish Risk Reversal
2026-03-02,2026-03-27,686.38,2026-03-27,1xO:SPY260327C00691000 | -1xO:SPY260327P00681000,-103.0,-3362.0,-3259.0,EXPIRY_FLATTEN,1,75,0.0,103.0,Bullish Risk Reversal
2026-03-16,2026-03-17,669.03,2026-04-10,1xO:SPY260410C00674000 | -1xO:SPY260410P00664000,-81.0,67.0,148.0,TP_75PCT,1,75,0.0,81.0,Bullish Risk Reversal
2026-03-23,2026-03-25,655.38,2026-04-17,4xO:SPY260417C00660000 | -4xO:SPY260417P00650000,420.0,788.0,368.0,TP_75PCT,4,75,0.0,420.0,Bullish Risk Reversal
2026-03-30,2026-03-31,631.97,2026-04-24,1xO:SPY260424C00637000 | -1xO:SPY260424P00627000,-5.0,1630.0,1635.0,TP_75PCT,1,75,0.0,5.0,Bullish Risk Reversal
2026-04-06,2026-04-08,658.93,2026-05-01,1xO:SPY260501C00664000 | -1xO:SPY260501P00654000,-17.0,1375.0,1392.0,TP_75PCT,1,75,0.0,17.0,Bullish Risk Reversal
2026-04-13,2026-04-14,686.1,2026-05-08,27xO:SPY260508C00691000 | -27xO:SPY260508P00681000,486.0,19521.0,19035.0,TP_75PCT,27,75,0.0,486.0,Bullish Risk Reversal
2026-04-20,2026-04-22,708.72,2026-05-15,1xO:SPY260515C00714000 | -1xO:SPY260515P00704000,-11.0,210.0,221.0,TP_75PCT,1,75,0.0,11.0,Bullish Risk Reversal
2026-04-27,2026-04-30,715.17,2026-05-22,4xO:SPY260522C00720000 | -4xO:SPY260522P00710000,428.0,1628.0,1200.0,TP_75PCT,4,75,0.0,428.0,Bullish Risk Reversal
2026-05-04,2026-05-05,718.01,2026-05-29,14xO:SPY260529C00723000 | -14xO:SPY260529P00713000,476.0,8260.0,7784.0,TP_75PCT,14,75,0.0,476.0,Bullish Risk Reversal
2026-05-11,2026-05-13,739.3,2026-06-05,5xO:SPY260605C00744000 | -5xO:SPY260605P00734000,495.0,2115.0,1620.0,TP_75PCT,5,75,0.0,495.0,Bullish Risk Reversal
2026-05-18,2026-05-20,738.65,2026-06-12,1xO:SPY260612C00744000 | -1xO:SPY260612P00734000,-122.0,281.0,403.0,TP_75PCT,1,75,0.0,122.0,Bullish Risk Reversal
2026-06-01,2026-06-02,758.54,2026-06-26,1xO:SPY260626C00764000 | -1xO:SPY260626P00754000,-81.0,-13.0,68.0,TP_75PCT,1,75,0.0,81.0,Bullish Risk Reversal
2026-06-15,2026-07-10,754.83,2026-07-10,1xO:SPY260710C00760000 | -1xO:SPY260710P00750000,-66.0,0.0,66.0,TP_75PCT,1,75,0.0,66.0,Bullish Risk Reversal
2026-06-22,2026-07-06,744.39,2026-07-17,2xO:SPY260717C00749000 | -2xO:SPY260717P00739000,346.0,1150.0,804.0,TP_75PCT,2,75,0.0,346.0,Bullish Risk Reversal
2026-06-29,2026-06-30,741.0,2026-07-24,4xO:SPY260724C00746000 | -4xO:SPY260724P00736000,420.0,2284.0,1864.0,TP_75PCT,4,75,0.0,420.0,Bullish Risk Reversal
2026-07-06,2026-07-10,751.28,2026-07-31,3xO:SPY260731C00756000 | -3xO:SPY260731P00746000,411.0,1167.0,756.0,TP_75PCT,3,75,0.0,411.0,Bullish Risk Reversal
2026-07-13,2026-07-14,749.17,2026-08-07,7xO:SPY260807C00754000 | -7xO:SPY260807P00744000,448.0,2422.0,1974.0,TP_75PCT,7,75,0.0,448.0,Bullish Risk Reversal
2026-07-20,2026-07-21,742.09,2026-08-14,9xO:SPY260814C00747000 | -9xO:SPY260814P00737000,468.0,5328.0,4860.0,TP_75PCT,9,75,0.0,468.0,Bullish Risk Reversal
